--- 所有模型 ---
strategy_e2etest_v1                |            | universe=None   | data_date=2026-09-23 | n=1 | created=None
strategy_c1789894283086_r1_v1      |            | universe=None   | data_date=2026-09-23 | n=1 | created=None
strategy_c1789895695594_r1_v1      |            | universe=None   | data_date=2026-09-23 | n=6351 | created=None
strategy_6f43c4300c_v1             |            | universe=None   | data_date=2026-09-23 | n=1491 | created=None
strategy_20cm_v1                   |            | universe=None   | data_date=2026-09-23 | n=1491 | created=None
strategy_1z1a_r1_v1                |            | universe=None   | data_date=2026-09-23 | n=146 | created=None
strategy_13b34ebf3a_v1             |            | universe=None   | data_date=2026-09-23 | n=377 | created=None
strategy_f120ccad35_v1             |            | universe=None   | data_date=2026-09-23 | n=55 | created=None
strategy_676e25bb91_v1             |            | universe=None   | data_date=2026-09-23 | n=55 | created=None
strategy_23e908c510_v1             |            | universe=None   | data_date=2026-09-23 | n=297 | created=None
strategy_99b11761e0_v1             |            | universe=None   | data_date=2026-09-23 | n=55 | created=None
strategy_ed26408c68_v1             |            | universe=None   | data_date=2026-09-23 | n=297 | created=None
strategy_111a_r1_v1                |            | universe=None   | data_date=2026-09-23 | n=806 | created=None
strategy_111b_r1_v1                |            | universe=None   | data_date=2026-09-23 | n=436 | created=None
strategy_2s2a2a_r1_v1              |            | universe=None   | data_date=2026-09-23 | n=156 | created=None
strategy_121_r1_v1                 |            | universe=None   | data_date=2026-09-23 | n=436 | created=None
111B_verify_0922                   |            | universe=None   | data_date=2026-09-23 | n=436 | created=None
strategy_10cm_v6                   |            | universe=None   | data_date=2026-09-23 | n=622 | created=None
strategy_2s2a2b_r1_v1              |            | universe=None   | data_date=2026-09-23 | n=156 | created=None
strategy_2s2b1_r1_v1               |            | universe=None   | data_date=2026-09-23 | n=1021 | created=None
p9_excel_probe                     |            | universe=None   | data_date=2026-09-23 | n=1 | created=None
strategy_c1790145091328_r1_v1      |            | universe=None   | data_date=2026-09-23 | n=274 | created=None

target stems = []
