股票代码,股票名称,D-0日期,N1,N2,D-y振幅,D-x振幅,D-y~D-0区间涨幅,D-y~D-0区间振幅,D-0振幅,D+1(低/高),D+2最高价,D+3最高价,D+4最高价,D+5最高价,D+6最高价,D+7最高价,D+8最高价
600010,包钢股份,2025-07-30,8,3,6.32,13.1,53.68%,50.0%,9.81,-8%/-1%(阴),-9%,-13%,-11%,-11%,-9%,-11%,-10%
600026,中远海能,2013-09-09,3,5,10.17,11.06,41.81%,42.09%,10.31,2%/9%(板),20%,9%,3%,1%,0%,-3%,-1%
600048,保利发展,2008-07-09,8,1,12.52,11.4,36.93%,39.46%,6.56,-3%/8%(阳),2%,0%,-2%,-15%,-14%,-16%,-10%
600053,*ST九鼎,2024-10-08,3,4,11.0,10.0,60.32%,61.34%,9.58,-9%/-6%(阴),-12%,-19%,-17%,-17%,-20%,-18%,-15%
600078,澄星股份,2008-12-10,3,2,11.41,10.62,45.44%,46.89%,11.62,-2%/2%(阴),-1%,-1%,6%,6%,6%,6%,3%
600084,*ST尼雅,2006-05-15,4,3,19.32,15.14,61.36%,70.45%,9.3,5%/9%(板),20%,14%,13%,17%,10%,12%,20%(板)
600085,同仁堂,2015-12-21,7,1,9.68,10.42,44.13%,43.81%,9.63,-1%/5%(阴),9%,-1%,-4%,0%,6%,3%,9%
600096,云天化,2021-06-11,7,3,10.75,8.05,52.26%,53.01%,10.64,-4%/1%(阴),-1%,1%,-2%,-8%,0%,0%,6%
600097,开创国际,2007-08-13,7,1,10.5,11.53,23.5%,29.75%,13.59,-5%/6%(阴),5%(板),9%,5%,4%,0%,4%,0%
600098,广州发展,2015-08-13,3,2,9.13,8.43,33.17%,32.31%,11.12,-1%/5%(阴),10%(板),12%,4%,3%,-6%,-12%,-26%
600102,未找到标的,2009-08-07,8,3,11.94,11.04,58.57%,60.51%,2.05,-9%/0%(阴),-7%,-8%,-8%,-6%,-9%,-11%,-10%
600105,永鼎股份,2026-04-10,3,1,7.25,6.39,37.35%,34.61%,11.89,-3%/3%(阳),1%,5%,6%,11%,15%,11%,19%(板)
