股票代码,股票名称,D0日期,D+1日期,D+2日期,基准日T日期,间隔天数,D+1日振幅(%),D+2日振幅(%),间隔区间振幅(%),间隔区间涨幅(%),间隔区间单日最大振幅(%),基准日T单日振幅(%),T+1(低/高),T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价,T+7最高价
688006,杭可科技,2025-08-28,2025-08-29,2025-09-01,2025-09-05,3,13.99,15.03,17.58,6.53,16.56,20.98,-7%/14%(阳),5%,8%,7%,2%,0%,-5%
688031,星环科技,2024-11-20,2024-11-21,2024-11-22,2024-12-05,8,19.03,11.71,28.73,2.35,14.03,16.27,-2%/17%(阴),7%,11%,-2%,0%,-5%,-10%
688048,长光华芯,2025-01-10,2025-01-13,2025-01-14,2025-02-07,11,14.15,4.81,20.87,7.09,11.41,17.28,-6%/1%(阳),4%,7%,23%,9%,12%,11%
688189,ST南新,2022-06-15,2022-06-16,2022-06-17,2022-07-04,10,19.54,12.03,17.37,11.75,11.35,16.35,0%/13%(阴),7%,7%,16%,19%,15%,14%
688472,阿特斯,2025-10-28,2025-10-29,2025-10-30,2025-11-05,3,20.53,7.21,19.38,9.11,11.68,26.51,-3%/8%(阳),7%,8%,14%,7%,1%,3%
688693,锴威特,2026-03-13,2026-03-30,2026-03-31,2026-04-08,4,8.94,13.97,22.54,12.21,13.36,19.58,-3%/19%(阳),26%,30%,49%,44%,42%,56%
688787,海天瑞声,2023-01-20,2023-01-30,2023-01-31,2023-02-06,3,1.46,15.0,30.14,25.23,15.59,21.87,-4%/20%(阳),35%(板),32%,49%,42%,46%,75%(板)
300010,ST豆神,2022-05-26,2022-05-27,2022-05-30,2022-06-13,8,22.3,16.77,12.28,-7.31,10.53,21.14,-8%/2%(阴),12%(板),34%(板),52%,77%(板),74%,61%
300049,福瑞医科,2023-08-28,2023-08-29,2023-08-30,2023-09-18,12,13.71,8.6,24.89,16.67,12.9,19.95,-7%/2%(阴),-2%,-6%,7%,5%,2%,3%
300072,海新能科,2024-09-12,2024-09-13,2024-09-18,2024-09-24,3,21.39,13.39,7.44,-3.26,5.58,20.67,20%/20%(板),44%,55%,68%,96%,63%,47%
300078,思创智联,2024-07-22,2024-07-23,2024-07-24,2024-08-02,6,20.63,16.79,9.73,-5.84,7.83,19.83,-11%/-1%(阴),-4%,-7%,-3%,-6%,-4%,-6%
300094,国联水产,2020-11-26,2020-11-27,2020-11-30,2020-12-07,4,21.23,15.21,21.72,-2.59,21.0,21.06,-8%/1%(阴),3%,-6%,-8%,-14%,-14%,-12%
300162,雷曼光电,2021-04-23,2021-04-26,2021-04-27,2021-05-17,10,19.47,15.1,12.38,0.81,9.61,19.87,-8%/-2%(阴),-4%,-4%,-6%,-3%,-4%,-4%
300165,天瑞仪器,2023-05-08,2023-05-16,2023-05-17,2023-06-01,10,12.33,8.23,13.94,1.78,9.15,20.7,-1%/10%(阴),4%,0%,-6%,-4%,-8%,-6%
300191,潜能恒信,2025-02-27,2025-02-28,2025-03-03,2025-03-17,9,12.86,12.32,8.51,1.6,7.55,15.81,-8%/3%(阳),-2%,8%,22%,13%,5%,0%
300199,翰宇药业,2021-12-29,2021-12-30,2021-12-31,2022-01-14,8,22.43,21.48,27.6,11.82,23.16,19.29,5%/20%(板),19%,29%,30%,17%,6%,0%
300300,海峡创新,2025-10-16,2025-10-17,2025-10-20,2025-10-27,4,20.99,13.04,23.83,7.05,15.33,15.36,7%/20%(板),36%,22%,33%(板),53%,69%(板),78%
300328,宜安科技,2024-08-08,2024-08-09,2024-08-12,2024-08-20,5,19.5,15.12,24.61,-0.59,15.33,20.83,-9%/2%(阴),-5%,6%,11%,0%,12%,9%
300350,华鹏飞,2021-06-24,2021-06-25,2021-06-28,2021-07-14,11,19.53,18.59,19.42,4.86,16.8,17.25,-10%/1%(阴),-6%,-9%,-8%,-9%,-8%,-11%
300376,易事特,2020-08-26,2020-08-27,2020-08-28,2020-09-04,4,19.93,13.2,19.87,2.58,12.06,17.17,8%/20%(板),43%,48%,35%,15%,33%,29%
300399,天利科技,2024-07-30,2024-07-31,2024-08-01,2024-08-15,9,20.8,11.49,13.33,-9.17,11.11,20.59,-6%/5%(阴),-3%,-9%,-10%,-11%,-15%,-17%
300483,首华燃气,2021-08-20,2021-08-23,2021-08-24,2021-09-06,8,11.73,20.16,24.94,-4.93,12.84,14.85,-3%/9%(阳),7%,23%,18%,19%,20%,16%
300551,古鳌科技,2024-09-18,2024-09-19,2024-09-20,2024-09-30,5,19.35,9.41,29.49,17.31,15.99,18.36,5%/21%(板),37%,33%,41%,36%,51%,30%
300560,中富通,2022-02-28,2022-03-01,2022-03-02,2022-03-16,9,20.93,8.94,21.6,3.9,17.44,22.89,4%/20%(板),13%,6%,4%,6%,1%,-4%
300629,新劲刚,2021-07-26,2021-07-27,2021-07-28,2021-08-10,8,20.86,13.73,36.96,22.68,18.8,23.62,-2%/15%(阴),-1%,3%,-5%,-3%,-5%,-4%
300637,扬帆新材,2023-11-08,2023-11-09,2023-11-10,2023-11-16,3,19.87,7.66,13.64,3.65,12.03,25.95,-8%/2%(阴),-4%,-1%,10%,7%,-7%,-11%
300675,建科院,2020-09-17,2020-09-18,2020-09-21,2020-10-12,8,20.75,10.15,26.65,21.65,18.01,13.56,-4%/21%(板),29%,12%,5%,5%,2%,-1%
300682,朗新科技,2025-05-28,2025-05-29,2025-05-30,2025-06-16,9,20.4,15.11,21.13,-0.7,15.76,19.93,-2%/11%(阳),2%,9%,-1%,4%,3%,7%
300688,创业黑马,2023-03-16,2023-03-17,2023-03-20,2023-03-27,4,19.07,12.56,23.58,14.21,11.25,21.42,-10%/-2%(阴),2%,-1%,-5%,-2%,-2%,-11%
300689,澄天伟业,2020-10-19,2020-10-20,2020-10-21,2020-11-09,12,16.79,13.02,25.34,9.42,15.54,16.78,-6%/6%(阴),-4%,-14%,-19%,-19%,-20%,-18%
300718,长盛轴承,2025-01-17,2025-01-20,2025-01-21,2025-02-06,5,22.42,19.08,18.02,0.2,16.07,21.66,-2%/14%(阳),8%,15%,15%,15%,2%,19%(板)
300718,长盛轴承,2025-02-05,2025-02-06,2025-02-07,2025-02-17,5,21.66,15.45,17.92,-7.42,13.97,22.89,-2%/16%(阳),27%(板),52%,42%,40%,48%,48%
300721,怡达股份,2024-04-11,2024-04-12,2024-04-15,2024-05-07,12,20.89,16.41,30.51,9.63,16.74,14.12,1%/16%(阳),3%,-4%,-12%,-11%,-12%,-12%
300746,汉嘉数智,2024-09-18,2024-09-19,2024-09-20,2024-09-27,4,28.71,17.79,27.82,3.47,26.67,19.95,-1%/20%(板),43%(板),34%,12%,1%,4%,11%
300752,隆利科技,2021-07-06,2021-07-07,2021-07-08,2021-07-14,3,21.59,11.76,25.76,15.54,18.71,24.03,-13%/16%(阳),14%,9%,12%,29%,26%,26%
300830,金现代,2025-07-16,2025-07-17,2025-07-18,2025-08-04,10,22.92,10.59,13.54,1.52,11.35,19.88,-6%/-2%(阴),1%,17%,4%,1%,0%,-4%
300839,博汇股份,2021-02-10,2021-02-18,2021-02-19,2021-03-04,8,18.47,9.73,12.38,-3.78,8.21,16.42,-1%/16%(阴),3%,-10%,-14%,-14%,-13%,-11%
300847,中船汉光,2023-05-05,2023-05-08,2023-05-09,2023-05-15,3,20.01,14.71,16.86,-5.83,13.75,26.11,-4%/8%(阳),16%,15%,11%,5%,2%,-6%
300882,万胜智能,2021-09-02,2021-09-03,2021-09-06,2021-09-22,9,19.95,10.56,16.34,5.21,10.71,24.12,6%/21%(板),20%,-4%,-2%,-2%,-1%,-4%
300887,谱尼测试,2025-12-23,2025-12-24,2025-12-25,2026-01-05,4,19.82,7.51,7.4,4.46,4.9,16.77,11%/20%(板),28%,38%(板),33%,45%,33%,25%
300917,特发服务,2022-03-21,2022-03-22,2022-03-23,2022-03-30,4,25.43,32.24,17.42,-6.41,17.96,19.83,1%/20%(阳),11%,16%,7%,8%,-1%,-4%
300917,特发服务,2022-11-10,2022-11-11,2022-11-14,2022-11-29,10,17.82,9.15,18.16,-5.62,10.11,13.57,0%/15%(阴),3%,-6%,-3%,-8%,-10%,-3%
