股票代码,股票名称,D-0日期,D-2振幅,D-1振幅,D-0振幅,D-2/D-1区间涨幅,D-2/D-1区间振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688010,福光股份,2024-10-30,8.84,10.71,15.68,12.03%,22.52%,158.82%,-2%/21%(板),44%,21%,16%,26%,12%,32%(板)
688020,方邦股份,2026-04-21,9.27,8.79,21.91,3.21%,10.5%,263.55%,1%/14%(阳),11%,11%,27%,32%,32%,34%
688056,莱伯泰科,2022-10-17,10.27,8.56,13.46,10.97%,14.18%,405.91%,-8%/0%(阴),-5%,-7%,-2%,4%,-3%,-4%
688056,莱伯泰科,2026-06-05,5.14,18.25,18.66,17.82%,21.93%,124.27%,-7%/10%(阳),12%,29%,26%,29%,28%,51%
688068,热景生物,2022-01-07,11.86,7.34,11.16,12.96%,18.65%,164.43%,8%/19%(阳),28%,34%,42%,53%(板),55%,28%
688091,上海谊众,2022-04-19,14.24,7.62,20.95,5.96%,14.24%,180.39%,-1%/8%(阴),9%,13%,28%,36%,36%,43%
688117,圣诺生物,2023-08-11,14.23,13.71,22.36,19.09%,19.05%,205.72%,-8%/1%(阴),-4%,0%,-21%,-24%,-28%,-28%
688143,长盈通,2025-01-24,11.89,16.47,22.02,15.83%,25.42%,166.17%,-17%/-4%(阳),-12%,-17%,-12%,-9%,-10%,-2%
688143,长盈通,2026-05-18,17.15,17.38,16.88,41.68%,41.09%,103.41%,-7%/3%(阳),13%,8%,8%,19%,15%,17%
688182,灿勤科技,2022-06-02,10.62,8.14,21.06,11.59%,16.05%,357.1%,-1%/8%(阴),3%,-2%,-4%,-7%,-7%,-10%
688183,生益电子,2026-05-26,8.26,7.56,15.62,10.91%,11.11%,189.38%,-3%/5%(阳),5%,9%,6%,2%,1%,-1%
688185,康希诺,2022-10-26,6.53,7.6,15.39,5.07%,8.64%,254.24%,-1%/10%(阴),22%,21%,33%,57%(板),54%,61%
688200,华峰测控,2022-08-05,6.78,6.3,18.57,9.49%,11.17%,219.62%,-3%/10%(阴),9%,21%,12%,18%,12%,7%
688221,前沿生物,2021-05-18,8.56,13.5,21.64,18.32%,21.72%,235.7%,-10%/4%(阴),6%,5%,10%,9%,16%,7%
688221,前沿生物,2022-01-14,5.56,6.89,22.04,4.83%,8.66%,545.48%,-3%/18%(阳),24%,18%,16%,1%,-12%,-16%
688225,亚信安全,2022-06-06,7.2,14.36,8.94,15.93%,20.74%,207.85%,-15%/0%(阴),-11%,-16%,-17%,-18%,-19%,-19%
688229,博睿数据,2026-01-12,9.77,8.47,16.86,13.89%,16.26%,169.85%,-11%/6%(阴),-6%,-13%,-16%,-19%,-19%,-21%
688232,新点软件,2026-01-12,5.09,4.1,18.32,6.32%,7.12%,659.21%,-7%/12%(阴),10%,4%,2%,-1%,3%,3%
688298,东方生物,2022-01-14,22.71,14.82,19.13,16.28%,29.45%,105.83%,-18%/0%(阴),-20%,-20%,-19%,-32%,-43%,-41%
688300,联瑞新材,2026-03-10,13.16,19.01,14.35,22.07%,26.17%,116.06%,-1%/4%(阳),-1%,-3%,-5%,-6%,-10%,-14%
688316,青云科技,2023-02-06,6.74,4.7,11.39,8.57%,9.24%,256.83%,4%/20%(板),24%,8%,5%,-1%,-2%,-5%
688327,云从科技,2023-01-30,4.48,4.03,4.33,4.85%,7.21%,465.4%,0%/9%(阴),16%,23%,41%(板),69%(板),83%,75%
688343,云天励飞,2025-08-22,9.16,9.79,15.79,0.63%,13.33%,112.72%,8%/21%(阴),10%,23%,21%,30%,40%,25%
688353,华盛锂电,2025-09-05,5.77,8.66,20.05,0.77%,8.92%,134.2%,4%/20%(阳),13%,8%,13%,9%,9%,6%
688360,德马科技,2026-05-19,5.63,5.03,15.68,5.0%,6.57%,536.25%,-3%/3%(阴),2%,15%,14%,11%,8%,-1%
688361,中科飞测,2024-11-11,15.5,14.48,15.77,20.51%,25.65%,131.95%,-8%/1%(阳),-1%,-2%,-12%,-14%,-14%,-13%
688381,帝奥微,2024-10-08,6.22,11.61,13.94,21.85%,21.72%,158.23%,-13%/-2%(阴),-10%,-14%,-18%,-16%,-20%,-18%
688468,科美诊断,2022-01-11,5.47,4.23,23.2,5.2%,8.05%,352.61%,-7%/3%(阳),1%,7%,3%,-6%,-13%,-12%
688498,源杰科技,2023-04-06,16.05,22.52,18.15,30.82%,33.12%,127.2%,-6%/5%(阳),24%,15%,11%,14%,6%,1%
688505,复旦张江,2024-10-08,3.3,16.21,6.3,18.53%,20.11%,228.57%,-7%/4%(阴),-5%,-10%,-15%,-13%,-16%,-16%
688509,正元地信,2022-06-02,22.2,12.99,22.95,14.46%,23.83%,220.53%,-6%/1%(阴),-4%,-13%,-15%,-17%,-18%,-20%
688631,莱斯信息,2024-10-08,8.5,14.3,8.76,32.88%,27.99%,128.06%,-7%/19%(阳),14%,-3%,2%,14%,12%,9%
688663,新风光,2021-10-25,22.3,15.07,15.28,17.26%,23.76%,130.87%,-2%/9%(阴),14%,29%,23%,41%,60%,64%
688667,菱电电控,2026-04-13,8.82,4.66,19.98,1.78%,8.82%,219.15%,1%/8%(阴),7%,3%,11%,10%,15%,16%
688680,海优新材,2023-12-28,8.62,7.92,20.5,-2.67%,10.1%,196.39%,-1%/5%(阴),-1%,-2%,-5%,-2%,-5%,-4%
688709,成都华微,2025-08-22,16.84,11.26,21.15,9.47%,19.8%,134.18%,-4%/7%(阴),-3%,2%,-2%,-4%,-1%,15%
688718,唯赛勃,2022-06-06,14.35,11.18,21.56,18.02%,19.18%,131.91%,0%/16%(阴),14%,5%,-2%,0%,1%,5%
688759,必贝特,2026-01-07,14.32,13.02,15.68,18.72%,23.5%,117.52%,7%/21%(板),24%,29%,25%,21%,20%,24%
688788,科思科技,2025-02-17,9.36,7.1,16.85,12.36%,13.99%,196.54%,-4%/4%(阴),14%,13%,24%,33%,28%,38%
688800,瑞可达,2026-05-06,9.65,14.37,18.2,16.45%,20.51%,131.08%,-2%/3%(阴),-2%,3%,12%,10%,11%,9%
300011,鼎汉技术,2024-10-08,8.18,17.99,13.4,19.94%,24.26%,152.04%,-15%/-3%(阴),1%,-6%,-6%,-6%,-10%,-11%
300025,华星创业,2023-04-14,10.37,15.79,21.14,16.53%,21.39%,182.88%,-4%/3%(阴),-1%,15%,17%,18%,22%,17%
300046,台基股份,2024-10-08,9.84,18.3,5.58,27.8%,27.98%,118.85%,-4%/21%(阳),12%,5%,10%,14%,5%,6%
300062,中能电气,2021-07-20,11.45,21.65,22.96,19.27%,27.86%,102.37%,-3%/10%(阴),4%,-5%,-8%,-9%,-18%,-12%
300064,未找到标的,2020-08-25,10.82,22.89,22.9,13.42%,25.11%,148.33%,-1%/16%(阳),10%,1%,-1%,7%,23%,26%
