股票代码,股票名称,D-0日期,D-3振幅,D-2涨幅,D-2振幅,D-1振幅,D-0振幅,D-3~D-1区间涨幅,D-3~D-1区间振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688001,华兴源创,2026-04-27,12.6,-3.05,8.21,10.68,17.17,14.52%,24.17%,105.98%,-8%/1%(阴),-2%,-8%,-10%,-5%,6%,4%
688060,云涌科技,2024-06-20,3.48,1.63,4.99,3.94,18.38,3.1%,8.92%,332.12%,1%/16%(阳),0%,-3%,-8%,-8%,-9%,-10%
688066,*ST航图,2025-08-25,13.29,-2.85,5.55,10.38,18.31,14.28%,17.41%,206.32%,7%/19%(阳),16%,12%,23%,25%,18%,20%
688095,福昕软件,2024-10-08,4.45,5.2,4.88,17.31,16.77,21.53%,27.84%,158.49%,-13%/-3%(阴),-9%,-16%,-16%,-10%,-15%,-8%
688098,申联生物,2025-08-01,6.07,0.73,4.38,9.28,20.08,4.59%,11.69%,200.5%,-10%/0%(阴),7%,7%,2%,20%,21%,21%
688114,华大智造,2025-02-10,8.78,4.27,7.44,20.4,19.09,37.64%,35.96%,107.14%,-7%/2%(阴),5%,3%,13%,17%,7%,7%
688173,希荻微,2022-06-06,14.91,0.98,7.17,15.18,19.27,23.36%,29.01%,152.63%,-6%/10%(阴),-5%,-10%,-12%,-12%,-15%,-7%
688173,希荻微,2024-03-04,14.8,7.32,8.14,8.51,22.34,2.4%,14.96%,294.09%,-5%/15%(阳),1%,-3%,-2%,-6%,-3%,-6%
688206,概伦电子,2024-10-08,5.9,5.72,4.54,13.53,4.83,31.27%,31.86%,163.33%,-6%/5%(阴),-2%,-12%,-12%,-11%,-15%,-17%
688216,气派科技,2024-10-08,5.65,4.0,4.06,15.38,13.58,28.03%,29.46%,170.4%,-14%/-1%(阴),-6%,-9%,-15%,-14%,-16%,-15%
688234,天岳先进,2024-10-08,4.21,6.84,7.04,13.16,5.67,31.86%,31.88%,238.38%,-16%/-3%(阴),-11%,-18%,-20%,-19%,-24%,-22%
688268,华特气体,2020-05-19,13.52,0.35,7.18,18.42,21.76,16.68%,24.57%,110.8%,-4%/10%(阴),1%,-6%,-4%,-1%,2%,-8%
688432,有研硅,2024-10-08,4.57,4.75,3.59,13.49,6.54,26.3%,28.8%,256.46%,-9%/5%(阴),-4%,-10%,-15%,-14%,-18%,-18%
688525,佰维存储,2023-04-04,14.62,0.21,6.71,15.46,22.18,32.3%,31.78%,130.04%,-5%/17%(阳),22%(板),39%,59%,48%,39%,38%
688584,上海合晶,2025-08-12,2.04,-1.55,1.76,4.07,20.58,2.31%,4.46%,451.78%,1%/20%(阳),12%,23%,20%,17%,26%,29%
688609,九联科技,2022-03-28,4.54,-2.3,2.18,8.58,17.73,0.55%,8.64%,433.81%,-6%/3%(阴),-3%,0%,0%,-1%,-5%,-8%
688662,富信科技,2025-12-11,10.63,-0.27,3.83,6.57,21.96,13.47%,12.58%,327.5%,0%/15%(阳),7%,-2%,-8%,-11%,-12%,-11%
688668,鼎通科技,2024-12-25,7.18,-1.2,5.77,8.47,8.13,9.83%,8.8%,191.56%,1%/18%(阳),10%,8%,0%,-7%,-10%,-12%
688709,成都华微,2024-10-08,8.55,4.9,4.65,14.32,11.03,30.0%,32.14%,194.99%,-10%/2%(阴),-6%,-15%,-18%,-14%,-6%,-8%
688766,普冉股份,2024-10-08,7.1,8.86,11.54,15.06,14.79,37.66%,37.26%,204.01%,-12%/0%(阴),-9%,-18%,-17%,-15%,-20%,-18%
300004,南风股份,2020-08-28,4.48,-1.14,4.23,11.7,12.17,6.3%,11.77%,119.03%,1%/15%(阴),21%,20%,30%,13%,18%,20%
300094,国联水产,2022-01-04,6.98,-1.34,3.35,7.92,18.76,2.03%,9.68%,242.4%,2%/16%(阴),13%,7%,1%,-1%,14%(板),37%(板)
300122,智飞生物,2024-09-30,6.65,5.49,6.58,16.36,11.75,27.56%,30.08%,170.77%,11%/21%(板),21%,14%,2%,-4%,-5%,-10%
300139,晓程科技,2024-09-30,5.87,0.69,2.85,7.03,20.34,6.03%,9.35%,153.0%,6%/20%(板),14%,14%,15%,13%,19%,33%
300149,睿智医药,2026-04-01,8.26,0.88,3.8,5.21,20.29,6.92%,13.84%,377.67%,-4%/6%(阳),-2%,-3%,-5%,-4%,-8%,-11%
300152,*ST动力,2021-08-16,6.01,-3.21,4.44,10.46,20.49,7.05%,11.75%,209.14%,2%/16%(阳),29%,22%,14%,16%,12%,1%
300159,新研股份,2023-01-31,3.52,2.54,2.54,4.13,13.1,11.01%,9.69%,229.66%,4%/15%(阳),14%,13%,8%,6%,4%,9%
300169,天晟新材,2024-07-31,14.96,3.83,8.87,7.77,20.81,5.77%,15.38%,154.82%,-5%/2%(阴),-3%,-4%,-5%,-5%,-3%,-5%
300172,中电环保,2020-08-26,4.6,0.88,3.36,8.6,20.34,7.73%,10.87%,346.12%,4%/20%(板),17%,8%,15%,20%,17%,11%
300172,中电环保,2023-08-23,4.96,1.81,2.42,4.16,21.64,5.99%,8.68%,368.97%,3%/20%(板),42%,51%(板),50%,46%,42%,32%
300192,科德教育,2022-06-16,8.96,-3.33,5.82,7.23,18.57,5.98%,11.42%,269.09%,-7%/4%(阴),5%,-5%,-8%,-11%,-12%,-13%
300210,森远股份,2023-11-01,6.33,0.24,4.6,19.32,31.66,20.76%,25.32%,142.01%,4%/20%(板),43%,53%(板),83%(板),80%,74%,52%
