股票代码,股票名称,D-0日期,D-1涨幅,D-1振幅,D-0振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688001,华兴源创,2022-05-31,11.44,15.16,19.27,240.14%,-8%/2%(阴),4%,10%,5%,1%,-1%,-2%
688011,新光光电,2022-06-02,3.81,5.2,19.03,247.42%,6%/17%(阳),8%,2%,-1%,-4%,-3%,-6%
688012,中微公司,2024-10-08,19.8,14.4,6.52,158.74%,-5%/11%(阳),2%,-8%,-11%,-10%,-15%,-15%
688018,乐鑫科技,2024-10-08,15.96,13.49,6.8,123.42%,-7%/6%(阳),-3%,-9%,-3%,-3%,-9%,-6%
688023,安恒信息,2025-02-05,1.12,5.77,2.86,238.0%,4%/20%(板),41%,54%(板),51%,42%,36%,47%
688031,星环科技,2024-09-30,14.33,14.26,13.57,327.09%,7%/20%(板),28%,26%,13%,2%,3%,-3%
688037,芯源微,2024-10-08,19.99,16.65,5.12,153.06%,-12%/16%(阳),-1%,-12%,-16%,-13%,-18%,-19%
688038,中科通达,2024-10-08,17.42,16.62,9.21,166.46%,-10%/8%(阴),-3%,-12%,-4%,-1%,-9%,-3%
688041,海光信息,2024-10-08,19.97,15.33,5.75,135.29%,-4%/20%(阳),16%,5%,1%,0%,-5%,-2%
688049,炬芯科技,2024-10-08,17.33,14.55,8.81,175.23%,-8%/2%(阴),-6%,-10%,-11%,-9%,-13%,-12%
688053,ST思科瑞,2024-10-08,16.51,15.05,10.0,162.98%,-7%/3%(阴),-5%,-12%,-15%,-14%,-13%,-11%
688055,龙腾光电,2024-11-11,4.07,6.94,18.85,233.73%,-8%/9%(阴),-5%,-5%,-10%,-15%,-17%,-14%
688061,灿瑞科技,2024-10-08,14.98,13.25,12.1,209.64%,-9%/1%(阴),-5%,-11%,-15%,-13%,-15%,-14%
688066,*ST航图,2024-10-08,17.0,15.26,13.7,140.99%,-8%/7%(阴),-5%,-12%,-14%,-12%,-17%,-14%
688071,华依科技,2024-12-05,2.14,5.64,17.24,198.99%,-8%/1%(阴),6%,13%,8%,11%,5%,2%
688072,拓荆科技,2024-10-08,18.76,13.94,8.89,181.55%,-6%/9%(阳),-3%,-12%,-15%,-13%,-18%,-18%
688078,龙软科技,2025-02-10,5.88,5.96,13.18,247.64%,4%/21%(板),40%,32%,23%,18%,15%,11%
688081,兴图新科,2021-06-25,12.05,18.29,20.65,180.98%,-8%/-3%(阴),13%,6%,8%,-8%,-10%,-5%
688082,盛美上海,2024-10-08,17.24,13.11,6.13,197.94%,-5%/11%(阳),3%,-4%,-7%,-7%,-12%,-14%
688083,中望软件,2024-10-08,16.2,15.42,9.19,112.71%,-9%/9%(阴),-6%,-13%,-17%,-13%,-14%,-13%
688084,晶品特装,2024-10-08,17.5,15.59,11.87,274.61%,-13%/-1%(阴),-7%,-11%,-13%,-9%,-10%,-9%
688095,福昕软件,2025-10-31,15.69,18.32,21.34,101.26%,1%/9%(阴),7%,3%,-2%,-6%,-7%,-6%
688099,晶晨股份,2024-10-08,19.54,16.04,9.2,232.62%,-8%/8%(阳),-2%,-11%,-16%,-15%,-18%,-19%
688108,赛诺医疗,2023-05-04,10.72,15.8,19.24,176.21%,-3%/5%(阳),3%,12%,8%,10%,27%,24%
688110,东芯股份,2024-10-08,19.89,14.61,7.44,158.86%,-5%/8%(阴),-1%,-10%,-15%,-13%,-19%,-18%
688116,天奈科技,2024-11-11,1.14,7.63,15.19,138.68%,6%/17%(阴),22%,19%,13%,10%,14%,22%
688118,普元信息,2026-01-12,7.42,8.2,11.85,251.71%,0%/10%(阴),17%,4%,-1%,-5%,3%,4%
688122,西部超导,2025-10-09,7.32,8.13,14.01,258.89%,-5%/2%(阴),-3%,6%,-3%,-5%,-8%,-11%
688123,聚辰股份,2024-10-08,17.53,13.9,11.38,174.62%,-10%/2%(阴),-6%,-16%,-17%,-16%,-20%,-20%
688128,中国电研,2020-07-14,6.59,7.56,19.79,285.59%,-12%/4%(阴),-12%,-18%,-16%,-16%,-16%,-19%
688130,晶华微,2024-06-20,1.56,11.4,5.13,104.74%,-3%/18%(阴),5%,-12%,-19%,-20%,-23%,-25%
688130,晶华微,2024-12-23,7.05,15.71,16.41,360.58%,-11%/-1%(阳),-5%,-8%,-7%,-11%,-13%,-17%
688135,利扬芯片,2024-10-08,15.19,13.12,12.11,189.77%,-9%/1%(阴),-6%,-12%,-15%,-13%,-16%,-15%
688138,清溢光电,2024-10-08,16.09,14.92,14.09,177.62%,-7%/8%(阴),0%,-4%,-7%,-5%,-9%,-8%
688147,微导纳米,2024-11-11,1.62,6.16,16.93,188.54%,-2%/7%(阴),-1%,-3%,-7%,-10%,-12%,-12%
688148,芳源股份,2024-11-11,3.78,8.11,21.01,202.83%,-5%/5%(阴),-2%,-1%,-10%,-13%,-14%,-5%
688150,莱特光电,2022-05-30,8.68,16.09,18.47,230.7%,0%/20%(板),43%(板),72%(板),107%,99%,86%,61%
