股票代码,股票名称,D-0日期,D-2涨幅,D-2振幅,D-1振幅,D-0涨幅,D-0振幅,D-2~D-0区间振幅,D-0/D-2成交额百分比,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
600000,,2002-06-25,3.95,3.48,3.41,3.22,10.13,23.99%,1135.07%,174.65%,-2%/1%(阴),0%,4%,2%,2%,2%,0%
600000,,2013-09-10,4.82,8.21,3.66,8.26,6.84,25.96%,467.67%,219.61%,-1%/0%(阳),8%,7%,5%,0%,-2%,-2%
600002,,2002-06-25,3.06,4.24,5.02,4.36,12.66,24.94%,1729.51%,155.89%,-3%/2%(阳),5%,4%,-1%,0%,-1%,-2%
600003,,2002-06-25,3.25,3.65,5.5,2.86,10.54,23.73%,721.26%,104.86%,-2%/0%(阴),5%,5%,4%,0%,1%,0%
600006,,2012-10-25,6.99,9.79,13.07,-5.93,14.84,26.22%,264.44%,126.68%,-5%/0%(阴),-1%,-3%,-7%,-6%,-6%,-8%
600006,,2013-01-29,3.7,4.04,8.44,-2.06,8.26,20.2%,323.17%,109.74%,-3%/0%(阴),-3%,-4%,-2%,-2%,-2%,-4%
600006,,2023-03-08,0.98,3.1,8.58,-1.47,6.76,15.52%,612.54%,192.22%,-2%/8%(阳),2%,-7%,-10%,-11%,-11%,-13%
600006,,2025-05-30,4.78,5.17,6.66,-8.3,8.86,12.27%,129.62%,113.34%,-2%/3%(阴),-1%,-6%,-11%,-11%,-11%,-11%
600008,,2007-12-11,2.6,4.08,9.74,0.68,5.19,18.27%,285.44%,113.45%,-1%/1%(阳),1%,1%,5%,2%,4%,5%
600010,,2007-09-18,4.15,6.91,8.52,1.81,7.75,25.0%,149.49%,127.64%,-5%/0%(阴),0%,-2%,-6%,-7%,-8%,-12%
600010,,2022-06-23,6.19,10.48,8.97,0.0,8.57,22.86%,159.6%,120.09%,-2%/9%(阳),10%,8%,1%,-1%,3%,1%
600010,,2025-07-14,4.4,5.49,6.32,1.44,9.09,24.73%,265.38%,220.8%,-5%/1%(阴),-4%,-4%,3%,6%,5%,13%
600010,,2025-07-25,4.57,10.96,13.1,-1.98,8.33,21.46%,132.02%,127.66%,0%/4%(阳),9%,18%(板),17%,7%,3%,6%
600015,,2015-04-16,3.16,8.27,7.56,1.72,5.22,19.84%,144.29%,134.1%,-2%/3%(阴),-1%,-4%,-3%,-1%,-3%,-4%
600017,,2012-05-21,1.67,6.69,2.3,-3.59,13.47,21.07%,380.35%,145.37%,-2%/0%(阳),-2%,0%,-3%,0%,-2%,0%
600018,,2021-12-06,4.33,6.39,1.38,4.13,5.21,21.03%,260.78%,198.54%,-5%/-2%(阴),-1%,2%,-1%,-2%,-4%,-2%
600020,,2023-05-05,4.28,4.28,6.74,2.93,5.87,22.32%,559.45%,144.63%,-1%/4%(阳),6%,1%,-1%,2%,0%,0%
600021,,2021-12-06,4.14,6.94,12.21,-2.1,9.0,20.42%,138.18%,127.61%,-4%/9%(阳),7%,9%,15%,15%,19%,30%
600027,,2021-12-07,6.78,9.49,8.88,7.85,9.01,28.18%,243.62%,109.94%,-5%/0%(阳),5%,6%,4%,0%,7%(板),10%
600028,,2002-06-25,1.57,1.88,4.94,3.93,12.92,22.88%,1615.49%,169.03%,-1%/1%(阳),3%,8%,6%,3%,5%,4%
600035,,2010-03-26,5.3,9.28,9.51,1.14,8.26,24.45%,363.13%,159.17%,-5%/-3%(阴),-4%,-5%,-5%,-6%,-6%,-7%
600037,,2013-05-20,9.31,10.73,10.39,7.35,8.79,32.81%,276.64%,194.64%,-4%/-2%(阳),1%,-3%,-2%,-3%,-4%,-4%
600039,,2007-04-05,5.74,5.74,7.83,2.47,5.95,23.48%,292.6%,164.6%,-3%/0%(阴),3%,1%,-1%,0%,6%,2%
600052,,2016-08-17,3.65,5.47,5.13,0.67,7.6,22.34%,420.21%,216.25%,-4%/5%(阳),-1%,2%,1%,1%,-1%,-2%
600053,,2021-11-11,3.96,6.17,12.24,-2.04,9.77,22.99%,231.38%,125.62%,-2%/7%(阳),9%,3%,1%,-2%,-1%,-2%
600054,,1998-11-10,-0.54,5.04,8.6,1.48,5.76,17.91%,379.14%,108.84%,-3%/0%(阴),0%,-1%,-2%,-3%,-1%,-3%
600055,,2004-09-17,7.14,7.72,5.95,4.58,7.36,29.54%,488.89%,407.01%,-1%/10%(板),9%,6%,5%,8%,2%,-1%
600055,,2020-02-05,4.77,16.97,13.4,3.58,11.78,34.95%,169.41%,145.93%,1%/9%(阳),10%,8%,2%,-1%,2%,-1%
600058,,2010-12-21,6.99,8.97,9.66,4.04,12.46,28.31%,159.82%,114.55%,-4%/2%(阴),-5%,-7%,-7%,-15%,-8%,-6%
600063,,2013-09-12,2.34,4.21,10.05,-0.83,7.47,17.76%,273.92%,123.76%,-5%/-1%(阴),-3%,-5%,-6%,-6%,-6%,-7%
600064,,2000-04-21,6.51,9.09,11.49,-3.98,15.33,28.62%,267.51%,133.53%,-6%/2%(阴),0%,1%,-3%,0%,-2%,-6%
600064,,2018-11-19,9.01,10.37,12.0,-5.15,10.71,26.54%,152.82%,103.51%,-7%/-3%(阴),-2%,-2%,-7%,-10%,-8%,-10%
600067,,2004-01-29,6.18,8.18,10.05,9.47,9.3,29.21%,224.1%,118.07%,0%/9%(板),20%,31%,21%,20%,19%,21%
600067,,2015-03-25,5.97,4.45,13.15,0.6,6.43,20.84%,145.66%,104.57%,-4%/-1%(阴),-2%,3%,4%,-2%,-2%,-4%
600067,,2020-09-25,7.51,7.24,13.22,-9.98,19.95,29.76%,291.8%,246.35%,-10%/-5%(阴),-10%,-10%,-6%,-5%,-6%,-6%
600069,,2009-02-05,6.46,10.77,11.01,7.14,7.55,28.47%,256.97%,142.19%,-4%/4%(阳),11%,12%,11%,9%,14%,14%
600070,,2015-05-28,5.14,8.91,15.23,6.05,16.85,29.14%,263.36%,137.13%,-9%/-4%(阴),-8%,-1%(板),3%,-5%,-4%,-7%
600071,,2002-03-12,7.15,7.02,11.99,0.0,7.87,25.96%,173.75%,150.61%,-7%/0%(阴),-1%,1%,-4%,-5%,1%,-2%
600071,,2012-10-26,5.61,7.48,11.27,-3.81,12.74,26.7%,454.86%,172.63%,-5%/8%(阳),3%,-4%,-2%,-2%,-2%,-4%
600071,,2020-07-08,3.6,5.04,9.53,6.5,13.09,24.9%,340.05%,161.2%,-5%/2%(阳),7%,14%,6%,4%,-1%,-6%
600072,,2002-06-25,6.58,9.01,5.51,-0.09,8.2,24.39%,151.63%,101.04%,-4%/1%(阳),0%,-2%,-3%,0%,0%,-1%
600072,,2019-07-04,7.35,3.86,12.63,4.49,11.93,25.3%,194.72%,163.86%,-4%/0%(阴),1%,1%,-1%,-4%,-9%,-2%
600073,,2007-01-31,3.81,6.24,13.13,-5.26,11.83,20.21%,174.65%,126.37%,-4%/10%(板),12%,8%,9%,15%(板),17%,15%
600073,,2008-12-08,0.21,9.44,11.35,4.86,7.39,18.67%,168.01%,151.85%,-6%/-2%(阴),-3%,-4%,-8%,-11%,-8%,-7%
