股票代码,股票名称,D-0日期,D-2振幅,D-1涨幅,D-1振幅,D-0涨幅,D-0振幅,D-0/D-2成交额百分比,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价,T+7最高价
600006,东风股份,2021-07-23,9.83,2.82,3.67,4.88,10.12,113.54%,103.07%,-7%/0%(阴),3%,7%,15%,6%,5%,3%,1%
600007,中国国贸,2021-05-07,10.02,6.81,10.76,1.07,4.84,129.45%,117.79%,-1%/5%(阳),15%(板),27%(板),40%(板),54%,49%,55%(板),64%
600007,中国国贸,2021-08-31,7.32,2.6,9.62,6.25,15.1,388.02%,111.95%,-2%/9%(板),20%,19%,7%,5%,6%,0%,-1%
600016,民生银行,2023-05-08,9.37,4.01,4.76,6.99,9.4,190.53%,112.99%,-3%/0%(阴),-3%,-5%,-6%,-8%,-7%,-9%,-8%
600026,中远海能,2013-08-28,10.17,2.06,6.68,4.79,10.58,151.59%,116.33%,-3%/-1%(阳),7%(板),10%,1%,2%,1%,11%,20%(板)
600031,三一重工,2006-03-24,8.89,-2.02,7.5,8.69,11.63,192.88%,162.47%,-2%/6%(阳),3%,4%,2%,-2%,7%,15%,17%
600039,四川路桥,2007-05-30,9.22,2.21,5.91,3.54,17.96,136.05%,126.36%,-10%/0%(阴),-8%,-19%,-27%,-25%,-24%,-21%,-15%(板)
600059,古越龙山,2020-11-05,10.26,-0.92,4.0,4.65,8.48,250.13%,152.17%,-3%/-1%(阴),-1%,1%,6%,11%,7%,3%,7%
600062,华润双鹤,2022-03-28,7.7,6.22,11.95,7.19,8.92,413.69%,101.42%,-4%/9%(阳),2%,11%,8%,4%,-4%,-5%,0%(板)
600067,冠城新材,2022-06-02,10.19,0.25,16.04,3.25,13.25,178.59%,114.55%,-7%/0%(阴),-5%,-6%,-9%,-8%,-7%,-2%,-5%
600067,冠城新材,2025-10-16,10.03,4.41,9.41,6.2,15.49,489.94%,122.52%,-8%/-3%(阴),-6%,-3%,-4%,-5%,-5%,-6%,-2%
600070,未找到标的,2011-07-15,10.25,6.0,7.78,0.76,5.28,172.83%,101.82%,-3%/-1%(阴),-2%,-3%,-2%,0%,3%,5%,5%
600070,未找到标的,2019-05-07,10.94,-1.52,11.66,8.65,13.18,138.39%,105.52%,-8%/-3%(阴),-10%,-13%,-16%,-17%,-14%,-13%,-14%
600071,凤凰光学,2024-10-23,9.62,-5.27,6.28,5.97,10.87,192.25%,159.44%,-1%/5%(阳),11%,21%,19%,13%,11%,9%,5%
600072,中船科技,2016-12-15,10.66,2.09,8.7,6.2,11.92,170.33%,112.9%,-4%/0%(阴),-1%,-4%,0%,0%,-2%,-5%,-6%
600074,未找到标的,2000-02-16,9.58,1.08,6.38,6.67,13.96,365.51%,124.68%,-9%/0%(阴),-6%,-7%,-9%,-12%,-13%,-12%,-10%
600075,新疆天业,2020-01-14,9.33,-1.73,4.5,3.52,10.56,193.19%,100.91%,-5%/-1%(阴),-4%,-6%,-10%,-12%,-14%,-25%,-22%
600076,康欣新材,2025-12-23,10.49,0.32,3.17,5.38,7.91,130.64%,114.58%,-2%/4%(阳),1%,3%,3%,1%,1%,11%,10%
600077,未找到标的,2006-02-10,10.98,9.76,9.98,0.81,4.04,274.65%,121.0%,-3%/5%(阴),0%,3%,2%,-6%,-10%,-9%,-6%
600077,未找到标的,2022-08-18,11.59,3.68,8.42,6.6,8.38,217.09%,105.47%,-10%/-8%(阴),-14%,-16%,-20%,-21%,-17%,-17%,-16%
600091,未找到标的,2008-12-22,10.86,3.49,8.43,4.78,11.8,162.91%,102.74%,-9%/-1%(阴),-8%,-9%,-13%,-17%,-17%,-18%,-17%
600095,湘财股份,2019-12-10,10.83,0.36,4.32,3.47,10.41,104.61%,102.82%,-1%/3%(阳),1%,3%,4%,9%,6%,5%,7%
600096,云天化,2025-11-10,10.23,5.88,6.69,2.5,8.2,192.86%,135.51%,0%/2%(阳),-1%,3%,2%,0%,-1%,-5%,-5%
600100,同方股份,2024-10-23,7.67,-3.49,5.3,6.65,10.26,148.62%,129.55%,-3%/2%(阴),4%,1%,2%,9%(板),20%,12%,10%
600102,未找到标的,2000-05-25,9.93,9.15,9.15,7.26,9.05,317.89%,141.86%,-1%/10%(阳),16%,17%,26%(板),38%,37%,37%,41%
600103,青山纸业,2000-02-16,6.42,1.12,12.35,8.77,7.77,191.94%,120.44%,-7%/7%(阴),0%,5%,3%,-5%,-6%,-5%,-4%
600113,浙江东日,2013-07-10,11.2,-1.34,7.82,6.78,12.2,164.07%,140.84%,-4%/3%(阳),2%,0%,1%,2%,0%,-4%,-11%
600116,三峡水利,2015-02-26,9.41,4.85,6.67,-0.98,8.73,141.97%,103.5%,-2%/4%(阳),4%,1%,1%,1%,0%,-5%,-3%
600117,西宁特钢,2003-04-11,8.43,0.15,5.37,8.42,11.49,107.46%,101.09%,-4%/4%(阳),3%,1%,-2%,-4%,-7%,-6%,-8%
600126,杭钢股份,2024-12-18,9.66,-2.92,5.22,4.73,6.02,117.03%,105.92%,-7%/0%(阴),-3%,-6%,-9%,-11%,-4%(板),3%,6%
600127,金健米业,1999-06-16,10.0,-1.52,8.85,9.96,12.23,189.0%,128.17%,1%/7%(阳),8%,8%,4%,5%,8%,19%,25%(板)
600135,乐凯胶片,2009-02-04,9.49,3.1,5.53,4.94,9.01,118.68%,112.28%,-1%/3%(阳),10%,20%,29%,33%,33%,46%(板),60%
600138,中青旅,2022-12-01,10.79,3.37,9.3,-1.2,10.2,184.89%,106.48%,-1%/2%(阳),3%,8%,8%,13%,6%,7%,15%
600143,XD金发科,2025-02-07,6.88,0.78,4.69,3.78,7.27,127.53%,120.22%,-4%/0%(阴),-2%,-2%,-1%,-4%,-3%,-2%,5%(板)
600149,廊坊发展,2004-02-02,8.49,1.34,6.71,7.62,7.95,165.71%,115.46%,-2%/1%(阳),6%,3%,3%,9%,8%,8%,10%
600150,中国船舶,2007-05-30,9.58,7.27,10.0,0.58,17.29,165.57%,121.57%,-5%/6%(阳),3%,-1%,-3%,0%,1%,8%(板),14%
600151,航天机电,2025-12-02,11.24,4.41,7.96,5.56,12.56,262.04%,113.6%,-5%/10%(板),21%(板),33%(板),46%,44%(板),46%,41%,50%(板)
600156,华升股份,2025-02-28,11.09,-2.43,5.04,3.25,8.41,168.12%,115.32%,0%/3%(阳),0%,0%,-2%,-3%,-5%,-5%,-4%
600158,中体产业,2009-11-03,10.37,-0.23,5.06,2.65,9.79,143.09%,115.08%,-2%/2%(阳),2%,7%,5%,5%,2%,2%,2%
600158,中体产业,2014-04-15,12.08,2.65,5.1,5.06,10.7,165.71%,141.31%,-2%/2%(阳),3%,6%,4%,3%,3%,-2%,-4%
600162,香江控股,2013-01-14,10.04,1.3,5.59,8.46,12.13,285.56%,107.03%,-2%/2%(阳),4%,4%,8%,7%,6%,5%,5%
600172,黄河旋风,2010-10-27,9.27,1.56,8.08,9.92,12.06,204.96%,129.21%,-5%/3%(阴),1%,7%,12%,7%,2%,5%,3%
600173,卧龙新能,2003-04-23,10.24,-0.13,6.21,3.65,9.19,233.76%,212.12%,-7%/-2%(阴),-6%,-9%,-11%,-15%,-19%,-19%,-18%
600178,东安动力,2013-03-22,11.43,6.59,12.01,3.3,6.73,158.62%,108.32%,-3%/-1%(阴),6%,3%,2%,0%,-1%,-1%,-1%
600180,*ST瑞茂,2014-04-08,10.69,2.6,4.97,5.29,8.2,270.47%,133.6%,2%/8%(阳),8%,8%,7%,-5%,-4%,-9%,-9%
600183,生益科技,2002-06-26,3.2,2.71,8.24,5.57,11.7,287.84%,274.79%,-2%/1%(阳),2%,0%,2%,1%,0%,4%,5%
600184,光电股份,2014-07-02,10.43,5.36,9.53,6.48,8.95,121.69%,110.53%,-4%/-2%(阴),-2%,4%,1%,4%,-1%,-2%,5%
600184,光电股份,2020-07-22,9.26,-0.95,6.27,2.78,10.06,147.51%,122.05%,1%/4%(阳),5%,0%,5%,1%,2%,-2%,3%
600185,珠免集团,2005-11-29,11.78,-0.52,5.48,-1.31,9.19,199.47%,113.95%,-6%/-3%(阴),-5%,-5%,-10%,-13%,-12%,-11%,-11%
600188,兖矿能源,2022-08-29,9.68,-1.21,4.39,2.7,9.13,147.32%,147.01%,-7%/-1%(阴),-5%,-1%,-2%,5%,7%,9%,7%
600189,泉阳泉,2020-07-30,11.41,0.74,9.63,7.84,14.95,206.08%,108.62%,-6%/-1%(阴),-1%,4%,1%,4%,0%,9%(板),13%
