股票代码,股票名称,D-0日期,D-6振幅,D-5振幅,D-6~D-5区间涨幅,D-6~D-5区间振幅,D-4~D-1区间涨幅,D-4~D-1区间振幅,D-4~D-1区间最大振幅,D-0振幅,D-0/D-5成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688008,澜起科技,2020-02-07,24.24,12.64,20.13%,31.31%,-6.39%,16.87%,12.38%,22.16,103.7%,-3%/10%(阴),5%,10%,16%,9%,4%,7%
688126,沪硅产业,2026-05-19,9.05,12.98,9.87%,16.79%,-2.61%,10.49%,10.29%,22.6,152.24%,-3%/1%(阳),7%,-4%,1%,-2%,-2%,7%
688182,灿勤科技,2025-02-25,5.41,9.38,8.65%,12.22%,4.11%,9.4%,7.13%,21.9,218.76%,-3%/16%(阳),10%,10%,15%,11%,17%,33%
688315,诺禾致源,2025-02-14,13.13,11.03,13.61%,22.04%,1.64%,8.2%,8.2%,20.07,130.88%,5%/20%(阳),11%,16%,24%,14%,12%,10%
688416,恒烁股份,2023-02-09,6.01,7.83,5.74%,9.18%,-5.21%,5.69%,4.97%,20.49,147.23%,8%/21%(阴),14%,4%,3%,2%,-3%,-7%
300093,金刚光伏,2022-06-24,10.03,7.64,15.13%,19.58%,14.9%,20.93%,12.98%,15.19,227.53%,10%/21%(板),25%,18%,4%,0%,0%,-1%
300125,聆达股份,2024-07-31,15.2,14.35,11.76%,15.69%,-3.95%,13.16%,11.91%,17.35,109.09%,4%/18%(阴),25%(板),50%(板),68%,76%,104%,93%
300126,锐奇股份,2025-02-24,9.73,10.89,15.4%,18.58%,5.67%,11.81%,9.18%,24.38,173.05%,-8%/1%(阴),10%,5%,6%,-6%,-7%,-1%
300139,晓程科技,2025-09-09,17.18,11.35,15.76%,22.05%,-0.22%,11.43%,9.28%,16.72,139.2%,-9%/5%(阳),4%,8%,0%,2%,2%,-7%
300148,天舟文化,2025-02-24,8.78,6.01,6.24%,11.55%,-7.61%,11.52%,8.7%,21.41,219.06%,-4%/10%(阳),10%,11%,7%,0%,-1%,-2%
300204,舒泰神,2022-11-09,11.93,11.42,13.51%,21.0%,3.02%,10.84%,8.39%,11.79,111.82%,6%/18%(阳),17%,10%,5%,0%,-3%,4%
300290,ST荣科,2023-10-18,5.51,4.66,6.78%,7.84%,-1.39%,4.96%,4.19%,21.93,339.49%,5%/20%(阳),9%,18%(板),37%,48%,50%,39%
300305,裕兴股份,2024-05-29,8.02,7.06,5.94%,8.02%,-9.82%,8.7%,5.55%,20.22,189.02%,7%/20%(阳),21%,7%,-6%,-2%,-13%,-18%
300351,永贵电器,2021-11-08,12.25,14.94,23.28%,26.23%,0.6%,9.05%,6.86%,19.37,247.21%,-5%/9%(阴),-2%,4%,10%,20%,16%,21%
300373,扬杰科技,2020-09-14,10.79,12.92,17.84%,27.07%,3.93%,19.07%,16.13%,16.73,127.77%,-9%/5%(阴),-3%,-4%,-7%,-8%,-13%,-8%
300675,建科院,2024-08-09,10.33,8.42,5.73%,10.33%,-5.99%,6.24%,5.42%,20.44,308.8%,-2%/17%(阴),-5%,-6%,-11%,-12%,-10%,-13%
300745,欣锐科技,2020-10-12,20.79,14.48,0.96%,20.97%,6.33%,12.49%,12.49%,17.87,156.03%,-4%/14%(阳),6%,9%,-1%,1%,-2%,-3%
300753,爱朋医疗,2026-01-05,7.6,6.11,9.32%,10.84%,-3.48%,8.35%,5.39%,7.1,181.81%,12%/21%(板),18%,27%(板),26%,32%,32%,22%
300780,德恩精工,2026-01-16,7.1,7.86,11.48%,12.01%,-6.03%,12.6%,6.06%,19.72,155.99%,-5%/5%(阳),9%,14%,13%,33%(板),40%,33%
300781,因赛集团,2022-05-16,13.42,10.76,12.05%,20.78%,-5.7%,6.4%,6.81%,19.79,105.05%,-3%/10%(阴),0%,-6%,-6%,-6%,2%,5%
300787,海能实业,2022-07-18,14.4,10.83,15.27%,19.27%,9.02%,15.73%,9.27%,10.06,172.78%,-3%/7%(阴),1%,-3%,-7%,-10%,-11%,-10%
300788,中信出版,2023-11-16,5.5,4.66,4.3%,7.96%,-3.3%,4.66%,4.45%,20.05,158.39%,-3%/10%(阴),-1%,3%,5%,0%,5%,-5%
300964,本川智能,2023-03-02,6.62,10.03,15.67%,14.75%,-8.53%,10.01%,6.35%,13.79,128.21%,-2%/17%(阳),28%,36%,54%(板),63%,55%,54%
301001,凯淳股份,2024-10-15,16.27,14.98,28.47%,34.0%,-12.51%,15.37%,13.01%,22.36,130.96%,-8%/3%(阴),-5%,-2%,1%,8%,-3%,-9%
301079,邵阳液压,2025-12-12,6.56,4.88,5.74%,9.02%,-0.31%,5.78%,4.67%,22.16,363.57%,-6%/6%(阳),-1%,-7%,2%,0%,-2%,-5%
301210,金杨精密,2023-08-18,6.96,8.64,7.11%,11.69%,-2.04%,10.1%,9.56%,22.73,159.96%,-14%/-3%(阴),-14%,-14%,-15%,-19%,-20%,-21%
301368,丰立智能,2026-01-08,5.85,7.91,8.75%,11.97%,-4.31%,4.97%,2.86%,19.52,236.14%,-5%/1%(阴),-4%,0%,-3%,-6%,-3%,0%
