股票代码,股票名称,D-0日期,D-7振幅,D-5振幅,D-7~D-5区间涨幅,D-7~D-5区间振幅,D-4~D-1区间涨幅,D-4~D-1区间振幅,D-4~D-1区间最大振幅,D-0振幅,D-0/D-5成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688090,瑞松科技,2025-12-29,9.35,7.68,13.92%,15.89%,1.81%,5.09%,3.73%,16.51,345.52%,-10%/-2%(阴),-8%,1%,4%,2%,1%,1%
688246,嘉和美康,2025-02-14,11.45,15.86,26.16%,24.82%,-1.89%,13.22%,10.93%,18.7,142.16%,8%/21%(阳),7%,13%,19%,23%,17%,14%
688719,爱科赛博,2025-02-21,7.1,6.93,10.68%,11.86%,-0.13%,4.2%,3.54%,17.41,509.67%,-6%/0%(阴),1%,-1%,-1%,-6%,-7%,-8%
300098,高新兴,2021-06-18,9.22,15.55,11.96%,18.82%,-3.33%,13.49%,10.16%,21.01,192.02%,-2%/2%(阴),0%,-6%,-8%,-11%,-11%,-6%
300248,新开普,2023-04-06,12.69,14.21,16.38%,19.53%,-5.96%,9.05%,8.63%,15.46,180.09%,-7%/0%(阳),-5%,-6%,-6%,-8%,-13%,-16%
300261,雅本化学,2021-11-15,4.93,10.85,13.21%,22.49%,3.66%,10.8%,7.12%,16.97,111.97%,1%/18%(阳),7%,3%,-1%,-3%,-4%,1%
300291,百纳千成,2025-06-19,4.33,3.07,3.15%,7.09%,-2.29%,8.21%,5.94%,22.27,555.46%,-7%/5%(阴),5%,4%,-1%,-4%,-7%,-6%
300350,华鹏飞,2021-06-25,9.36,12.13,9.48%,14.81%,-2.49%,5.41%,5.41%,19.53,117.43%,2%/20%(阳),21%,32%,28%,32%,31%,29%
300354,东华测试,2021-11-18,10.98,13.7,12.34%,17.27%,-7.5%,17.03%,15.38%,16.25,124.38%,-4%/3%(阴),-3%,-4%,-5%,-4%,-6%,-3%
300417,南华仪器,2023-08-02,10.88,6.12,5.49%,10.88%,-3.35%,6.53%,5.11%,21.08,164.13%,-7%/0%(阴),3%,-2%,3%,-4%,-3%,-9%
300550,和仁科技,2022-05-23,11.22,12.87,13.47%,24.39%,7.46%,13.22%,9.35%,16.65,264.69%,2%/8%(阴),2%,-8%,-9%,-13%,-3%,7%
300920,润阳科技,2025-04-11,18.89,8.33,16.87%,18.89%,-13.91%,19.56%,13.34%,21.59,112.67%,0%/14%(阴),3%,19%,27%,11%,4%,24%(板)
301261,恒工精密,2024-07-04,15.38,5.22,9.72%,15.38%,-7.74%,11.82%,5.9%,18.41,156.7%,-4%/4%(阴),1%,-1%,2%,3%,-1%,-1%
301288,清研环境,2023-07-26,5.67,5.48,3.63%,9.18%,-0.22%,5.96%,4.69%,16.93,143.16%,0%/19%(阳),9%,9%,0%,-7%,-8%,-8%
