股票代码,股票名称,D-0日期,D-5涨幅,D-5振幅,D-4~D-1区间涨幅,D-4~D-1区间振幅,D-4~D-1区间最大振幅,D-0振幅,D-0/D-5成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688018,乐鑫科技,2024-06-27,2.03,4.62,-0.39%,7.76%,4.8%,5.1,485.02%,-2%/1%(阴),2%,0%,-1%,0%,-2%,-1%
688023,安恒信息,2024-09-30,5.37,7.62,18.38%,22.96%,14.3%,13.05,315.77%,14%/21%(板),42%,35%,17%,10%,14%,8%
688061,灿瑞科技,2024-06-20,7.61,12.54,1.35%,8.46%,6.56%,19.1,288.96%,-9%/0%(阴),3%,-4%,-9%,-11%,-12%,-15%
688090,瑞松科技,2026-06-15,-4.72,8.83,-2.09%,12.46%,11.54%,18.69,154.37%,0%/8%(阴),3%,6%,10%,6%,21%,-7%
688098,申联生物,2025-08-15,9.71,24.56,-5.01%,15.14%,8.74%,19.98,102.98%,12%/21%(板),44%(板),64%,39%,27%,40%,36%
688108,赛诺医疗,2026-01-05,14.9,20.47,-5.82%,12.53%,8.57%,17.36,112.3%,-3%/10%(阴),-1%,0%,-2%,5%,6%,8%
688169,石头科技,2026-08-25,6.68,8.38,-6.87%,8.83%,4.66%,8.89,182.81%,-3%/2%(阴),-2%,-3%,-5%,1%,-2%,-1%
688229,博睿数据,2025-02-10,18.17,20.43,-0.6%,15.44%,14.11%,17.17,106.48%,-2%/10%(阴),18%,30%,40%,48%,28%,20%
688280,精进电动,2026-01-30,8.71,11.78,-12.25%,13.38%,8.11%,16.54,195.38%,-6%/1%(阴),-4%,-7%,-6%,-8%,-9%,-10%
688313,仕佳光子,2023-06-14,9.34,12.65,4.34%,10.12%,6.5%,18.09,245.63%,-2%/12%(阳),11%,17%,14%,12%,7%,3%
688499,利元亨,2025-06-24,4.39,7.43,-1.79%,11.53%,7.36%,20.82,211.94%,2%/13%(阳),10%,11%,5%,6%,0%,1%
688580,伟思医疗,2026-01-05,5.73,7.55,-1.79%,4.48%,4.6%,12.77,243.0%,11%/21%(板),24%,20%,18%,19%,21%,21%
688653,康希通信,2024-06-13,5.93,13.56,-3.29%,14.4%,10.13%,19.39,134.51%,-7%/5%(阴),-2%,8%,9%,25%,9%,4%
688676,金盘科技,2021-11-11,15.34,20.33,-6.72%,10.65%,6.8%,15.91,110.96%,3%/20%(板),43%,42%,43%,42%,36%,34%
688685,迈信林,2021-07-23,9.78,19.08,6.46%,10.17%,8.87%,17.99,153.1%,1%/12%(阴),4%,-8%,-6%,-9%,-1%,-2%
300003,乐普医疗,2026-01-05,2.58,3.72,-2.95%,3.62%,1.61%,15.31,637.24%,2%/9%(阴),4%,6%,3%,8%,11%,13%
