股票代码,股票名称,D-0日期,D-3涨幅,D-3振幅,D-2~D-1区间涨幅,D-2~D-1区间振幅,D-0振幅,D-0/D-3成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688037,芯源微,2021-07-05,12.83,9.0,-9.85%,12.08%,22.1,100.84%,2%/15%(阳),10%,12%,15%,15%,14%,12%
688056,莱伯泰科,2021-05-27,8.0,16.0,2.32%,5.72%,20.26,153.64%,-2%/3%(阳),13%,17%,7%,5%,-2%,-1%
688062,迈威生物,2025-09-01,6.07,14.24,6.48%,14.06%,13.73,134.13%,1%/11%(阴),6%,9%,1%,1%,-6%,-10%
688108,赛诺医疗,2022-11-10,4.49,7.64,5.09%,7.31%,14.98,501.49%,-11%/1%(阴),-10%,-12%,-14%,-13%,-13%,-15%
688111,金山办公,2024-09-30,0.24,6.06,15.41%,17.88%,14.57,322.21%,11%/21%(阴),15%,6%,-1%,-3%,2%,-4%
688118,普元信息,2025-07-16,4.85,8.71,2.47%,6.44%,14.48,202.12%,-6%/-1%(阴),-5%,-8%,-9%,-9%,-8%,-5%
688177,百奥泰,2022-11-07,1.92,7.39,1.45%,5.42%,20.26,493.53%,-5%/0%(阴),2%,0%,-2%,-4%,-4%,-2%
688199,久日新材,2025-08-15,6.77,12.91,-6.49%,9.6%,19.75,135.45%,-5%/1%(阴),0%,-4%,-4%,-3%,-5%,-1%
688222,成都先导,2025-07-17,4.51,6.76,-1.11%,4.15%,16.22,216.56%,0%/10%(阴),12%,23%,18%,20%,12%,8%
688238,和元生物,2025-04-01,6.5,13.72,-6.78%,13.39%,18.55,227.22%,-7%/1%(阴),-4%,-12%,-21%,-22%,-17%,-15%
688261,东微半导,2026-01-05,12.62,12.39,2.14%,8.53%,14.52,131.01%,0%/17%(阴),-1%,-7%,-11%,-1%,4%,7%
688278,特宝生物,2020-06-15,8.07,11.06,2.75%,8.49%,18.55,138.15%,-2%/18%(阳),14%,16%,16%,11%,20%,18%
688327,云从科技,2025-02-27,13.08,17.03,2.16%,13.88%,19.33,132.4%,-16%/-3%(阴),-16%,-20%,-18%,-10%,-12%,-18%
688347,华虹宏力,2026-05-25,18.74,20.9,0.67%,12.0%,20.0,110.57%,-2%/7%(阳),7%,20%,17%,14%,9%,14%
688368,晶丰明源,2022-11-02,5.06,12.3,3.15%,6.65%,19.05,155.4%,2%/20%(阳),15%,26%,23%,9%,7%,15%
688411,海博思创,2025-09-03,13.98,19.2,-3.42%,8.7%,19.51,118.44%,3%/19%(阴),24%,33%,26%,17%,20%,26%
688501,青达环保,2021-12-27,10.78,18.95,-2.96%,9.93%,14.74,103.51%,-1%/19%(阴),4%,-2%,-5%,-3%,7%,15%
688573,信宇人,2024-04-09,7.82,15.46,-10.4%,15.08%,20.98,139.61%,4%/18%(阳),5%,0%,-6%,-17%,-16%,-13%
688662,富信科技,2021-11-24,6.79,8.39,-0.2%,4.57%,21.08,210.42%,-8%/-1%(阴),-8%,-11%,-13%,-15%,-7%,-12%
688670,金迪克,2025-11-10,3.37,7.6,-4.15%,6.91%,19.95,173.52%,4%/20%(板),29%,15%,34%(板),43%,41%,27%
688676,金盘科技,2025-10-15,6.99,15.91,-1.58%,16.23%,20.85,122.36%,-3%/8%(阴),4%,-4%,-2%,-6%,-11%,-5%
688680,海优新材,2021-06-29,-1.83,10.92,7.61%,14.19%,19.04,174.93%,-2%/5%(阳),4%,0%,1%,0%,10%,17%
688686,XD奥普特,2021-04-23,-3.53,7.43,2.83%,6.76%,12.44,254.76%,0%/6%(阳),8%,9%,8%,5%,18%,16%
300002,神州泰岳,2023-04-07,11.25,19.11,-4.29%,15.08%,19.14,126.22%,-14%/4%(阴),3%,4%,1%,-1%,-3%,-5%
300004,南风股份,2024-10-22,15.11,18.28,3.08%,15.56%,20.75,131.95%,-3%/14%(阴),-6%,-3%,3%,9%,3%,0%
300007,汉威科技,2024-12-10,3.91,8.32,0.92%,8.15%,18.26,181.11%,-7%/-1%(阳),4%,1%,-7%,-11%,-8%,-3%
300022,吉峰科技,2021-03-03,11.06,11.78,1.3%,11.47%,22.22,140.64%,2%/20%(阳),20%,8%,-1%,-10%,-11%,-8%
300045,华力创通,2023-02-02,3.63,5.37,5.74%,8.12%,17.35,274.68%,-8%/0%(阴),-5%,-10%,-11%,-12%,-12%,-10%
300046,台基股份,2025-06-25,5.66,12.33,3.87%,12.08%,19.66,129.72%,0%/15%(阴),8%,9%,23%,9%,2%,1%
300053,航宇微,2023-11-20,5.19,7.97,-1.57%,4.57%,14.09,209.28%,-3%/8%(阴),0%,-3%,-5%,-9%,-8%,-10%
300075,数字政通,2022-10-31,4.85,5.27,-4.0%,6.8%,9.88,162.96%,1%/10%(阴),6%,11%,3%,7%,4%,1%
300088,长信科技,2024-08-29,10.14,14.64,-9.61%,9.82%,17.87,185.85%,2%/9%(阴),8%,5%,5%,-4%,-6%,-6%
300097,智云股份,2023-08-17,4.46,11.37,-11.29%,9.64%,20.34,249.56%,-6%/3%(阴),-4%,-5%,-7%,-8%,-13%,-18%
300101,振芯科技,2021-07-29,3.8,13.57,-9.25%,18.14%,19.55,130.82%,-4%/5%(阴),15%,12%,8%,22%,15%,11%
300132,诺斯贝尔,2024-05-09,3.96,6.68,0.95%,3.1%,19.81,242.96%,-11%/0%(阴),-11%,-14%,-15%,-16%,-15%,-12%
300135,宝利国际,2020-09-07,13.25,17.55,4.68%,16.08%,20.39,109.25%,-5%/20%(阳),21%,-6%,-18%,-8%,-7%,-12%
300135,宝利国际,2023-02-02,4.47,8.25,2.96%,5.92%,17.57,509.47%,-4%/10%(阴),-2%,2%,0%,-4%,-6%,-19%
300139,晓程科技,2026-01-26,13.24,13.19,-4.94%,10.24%,14.52,118.63%,-3%/15%(阳),33%(板),60%,45%,12%,22%,30%
300169,天晟新材,2023-07-28,13.9,16.86,-6.2%,6.2%,21.54,101.12%,21%/21%(板),36%,35%,50%(板),65%,50%,60%
300183,东软载波,2025-03-04,3.05,7.1,-6.02%,8.98%,25.47,170.5%,10%/20%(阳),20%,16%,9%,9%,7%,4%
300248,新开普,2026-08-05,4.97,5.74,1.94%,4.37%,20.5,312.02%,-5%/4%(阳),-3%,0%,-5%,-7%,-7%,-9%
300265,通光线缆,2025-12-11,1.61,3.43,-0.69%,3.47%,14.79,322.7%,1%/20%(板),23%,24%,14%,17%,18%,14%
300297,未找到标的,2020-09-02,4.17,11.88,-0.4%,6.6%,20.48,226.12%,-8%/2%(阴),-4%,12%(板),18%,22%,-4%,-13%
300313,天山生物,2025-05-27,2.71,7.58,0.35%,9.14%,20.14,272.87%,-4%/8%(阴),-3%,0%,-5%,-6%,-2%,-2%
300335,迪森股份,2021-09-28,1.07,6.7,-7.83%,10.99%,19.93,231.31%,-6%/4%(阳),5%,8%,-2%,5%,-1%,-9%
300338,*ST开元,2021-12-02,9.65,23.15,-1.61%,9.53%,15.65,122.21%,-11%/-3%(阴),-14%,-14%,-13%,-4%,-4%,0%
300364,中文在线,2022-11-07,5.03,11.38,0.88%,7.81%,20.6,133.31%,-3%/8%(阳),4%,16%,21%,15%,13%,17%
300393,中来股份,2021-06-29,9.77,16.36,-4.56%,14.13%,24.48,116.21%,4%/20%(板),29%,24%,38%(板),37%,40%,41%
300424,航新科技,2024-05-07,5.96,7.55,-3.01%,8.39%,20.98,175.9%,6%/17%(阳),19%,14%,4%,4%,14%,11%
300432,富临精工,2025-09-30,9.72,15.37,5.89%,10.35%,10.91,148.35%,-7%/1%(阴),-6%,-11%,-7%,-11%,-12%,-15%
300435,中泰股份,2026-01-12,8.48,8.09,3.95%,8.29%,14.96,145.52%,-6%/9%(阴),0%,-9%,-8%,-3%,10%,3%
300443,金雷股份,2020-09-28,3.16,5.95,-9.62%,9.47%,11.52,280.25%,-2%/12%(阳),8%,12%,21%,13%,32%,25%
300446,航天智造,2020-08-25,4.2,7.23,-3.85%,10.98%,18.93,278.86%,-10%/11%(阳),4%,-2%,9%,5%,13%,6%
300449,汉邦高科,2026-02-13,5.94,7.66,-4.61%,5.74%,17.25,197.41%,-6%/1%(阴),-3%,-5%,-5%,-7%,-4%,-7%
300468,四方精创,2024-09-30,11.27,17.48,4.28%,11.06%,15.69,139.09%,12%/20%(板),41%,39%,53%(板),84%,98%,77%
300476,胜宏科技,2025-09-05,0.05,12.41,-8.87%,16.5%,18.97,101.89%,-12%/-1%(阴),-10%,1%,16%,19%,14%,20%
300511,雪榕生物,2025-05-20,3.62,9.6,0.17%,11.19%,18.32,144.3%,-5%/2%(阴),-4%,3%,-1%,8%,0%,4%
300512,中亚股份,2025-03-04,1.65,7.37,-4.25%,6.0%,18.02,140.41%,-9%/0%(阴),-1%,-4%,-7%,-8%,-4%,-4%
300528,幸福蓝海,2026-02-10,11.51,17.26,-1.05%,13.87%,21.79,150.34%,-11%/0%(阴),-13%,-14%,-25%,-32%,-33%,-34%
300534,陇神戎发,2021-12-20,4.21,7.58,-0.81%,3.23%,18.24,384.52%,-1%/20%(板),43%(板),54%,59%(板),88%,81%,82%
300534,陇神戎发,2026-07-13,3.0,10.5,-0.66%,5.56%,16.13,428.64%,-2%/17%(阳),27%,32%,28%,33%(板),53%,55%
300546,雄帝科技,2024-11-12,5.45,8.51,3.34%,6.67%,18.48,111.3%,-9%/0%(阴),-8%,-11%,-17%,-21%,-19%,-16%
300549,优德精密,2020-10-27,5.93,16.24,-3.48%,9.02%,19.49,157.88%,12%/21%(板),43%(板),57%,57%,52%,52%,34%
300554,三超新材,2025-07-01,0.28,6.09,6.07%,7.73%,19.48,259.76%,-3%/12%(阴),4%,-6%,-10%,5%,-4%,-8%
300563,神宇股份,2023-03-09,6.31,8.31,-4.4%,6.21%,18.32,172.19%,-7%/5%(阴),-6%,-10%,-10%,-12%,-13%,-13%
300570,太辰光,2025-01-07,10.52,19.53,-3.98%,12.2%,20.19,107.47%,-3%/15%(阳),9%,5%,4%,3%,11%,27%
300573,兴齐眼药,2021-09-01,10.34,9.14,-9.38%,13.56%,22.29,105.9%,-4%/6%(阴),6%,6%,2%,-1%,-3%,-3%
300584,海辰药业,2024-08-15,4.04,10.64,-6.57%,6.86%,3.91,185.76%,1%/20%(板),42%,29%,11%,10%,8%,1%
300612,宣亚国际,2022-11-10,5.84,11.46,-2.6%,5.36%,18.93,158.45%,-4%/14%(阴),4%,-1%,3%,-4%,-3%,-9%
300621,维业股份,2021-06-24,-3.11,6.34,0.0%,2.55%,16.63,351.6%,-6%/4%(阴),-4%,-9%,-8%,-10%,-10%,-10%
300623,捷捷微电,2024-10-18,-7.41,16.38,0.2%,8.8%,22.01,103.48%,2%/20%(阳),16%,9%,14%,11%,11%,13%
300635,中达安,2024-09-13,6.22,19.69,-0.24%,11.22%,21.03,148.99%,-11%/-4%(阴),-9%,-11%,-10%,-3%,3%,-5%
300636,同和药业,2022-03-17,15.01,20.0,-4.53%,14.15%,22.47,198.09%,-6%/7%(阴),5%,0%,-11%,-7%,5%,15%
300642,透景生命,2025-08-19,10.85,17.7,0.73%,9.74%,20.69,109.66%,-5%/13%(阳),8%,16%,29%,42%,37%,29%
300645,正元智慧,2025-08-26,4.74,5.68,-1.09%,4.58%,21.33,202.99%,-7%/5%(阴),-7%,-10%,-13%,-13%,-17%,-21%
300668,杰恩股份,2025-12-25,4.81,10.08,6.08%,8.61%,20.75,243.55%,-3%/5%(阳),7%,12%,11%,14%,14%,17%
300688,创业黑马,2024-12-19,6.96,15.11,1.79%,12.96%,22.59,112.98%,-10%/-1%(阳),-5%,-11%,-16%,-18%,-20%,-17%
300690,双一科技,2020-10-14,13.14,9.02,0.63%,4.36%,11.43,138.91%,3%/17%(阴),17%,13%,13%,11%,3%,2%
300712,永福股份,2021-07-29,6.56,14.17,3.48%,24.13%,20.0,139.37%,2%/17%(阴),9%,2%,-3%,9%,9%,15%
300722,新余国科,2024-05-23,14.8,20.06,-7.58%,7.46%,20.0,148.0%,2%/14%(阳),4%,-1%,-2%,-7%,-5%,-7%
300731,科创新源,2023-09-12,1.75,7.92,-0.76%,4.55%,20.17,227.18%,-6%/9%(阴),0%,-6%,-6%,-9%,-10%,-14%
300746,汉嘉数智,2021-09-02,3.98,6.8,-5.96%,9.78%,20.48,199.66%,6%/17%(阳),16%,8%,7%,5%,1%,-2%
300746,汉嘉数智,2025-02-27,4.93,9.69,-2.65%,3.16%,16.68,121.48%,2%/19%(阳),16%,10%,6%,6%,11%,11%
300748,金力永磁,2021-07-02,10.01,13.93,0.17%,8.44%,19.93,163.75%,-1%/7%(阴),3%,9%,6%,7%,6%,0%
300762,上海瀚讯,2024-11-08,15.92,18.96,2.49%,14.96%,17.73,164.46%,-4%/8%(阴),6%,1%,-2%,-5%,-7%,-7%
300765,石药创新,2026-08-20,9.0,15.43,-2.9%,8.75%,14.11,194.4%,-8%/0%(阳),-4%,-14%,-9%,-7%,-10%,-14%
300776,帝尔激光,2021-11-18,-0.92,7.44,-1.2%,5.05%,21.26,298.31%,-5%/8%(阳),17%,19%,19%,14%,7%,10%
300781,因赛集团,2023-12-15,1.68,8.85,-8.55%,15.31%,23.46,122.04%,-7%/10%(阳),23%,19%,20%,18%,6%,5%
300803,指南针,2023-07-28,10.79,8.22,-4.43%,5.9%,20.09,202.75%,-2%/7%(阴),-1%,0%,12%,29%,27%,24%
300803,指南针,2024-09-24,6.18,8.27,0.05%,3.85%,19.14,272.73%,3%/11%(阴),25%,45%(板),74%(板),109%(板),150%,104%
300826,测绘股份,2023-10-10,8.3,14.82,-1.42%,5.86%,19.04,119.09%,-12%/-5%(阴),-12%,-14%,-11%,-3%,-10%,-16%
300844,山水比德,2023-07-24,2.35,3.61,-0.23%,3.96%,19.79,737.3%,5%/20%(板),43%(板),72%,67%,65%,53%,47%
300846,首都在线,2023-10-30,9.28,16.84,-1.79%,4.1%,10.39,319.83%,-7%/1%(阴),-2%,-6%,-9%,-5%,3%,11%
300848,美瑞新材,2023-02-03,2.86,6.37,1.04%,4.09%,21.65,237.2%,-5%/4%(阴),1%,10%,10%,8%,8%,13%
300879,大叶股份,2025-04-29,9.16,13.37,2.8%,7.52%,22.01,224.12%,-3%/20%(阳),40%(板),68%(板),64%,70%,66%,67%
300885,海昌新材,2025-03-25,12.32,18.65,-10.96%,14.97%,18.51,101.81%,-4%/8%(阳),1%,-6%,-10%,-12%,-16%,-17%
300913,兆龙互连,2024-12-16,12.58,17.95,-2.35%,8.25%,11.98,206.07%,-8%/-2%(阳),2%,7%,21%,37%,42%,39%
300915,海融科技,2025-02-27,2.19,2.51,0.95%,3.44%,18.44,654.26%,2%/12%(阳),2%,-7%,-9%,-7%,-8%,-8%
300949,奥雅股份,2025-11-13,2.68,7.24,-0.46%,3.48%,20.85,326.78%,-7%/10%(阴),-8%,-6%,-9%,-11%,-12%,-13%
300956,英力股份,2024-05-21,5.02,6.21,0.23%,5.31%,17.02,281.85%,8%/20%(板),44%(板),68%,56%,38%,59%,67%
300969,恒帅股份,2023-11-28,13.9,17.62,-4.32%,12.75%,18.8,144.83%,-2%/8%(阳),3%,-14%,-15%,-17%,-18%,-20%
300987,川网传媒,2025-06-12,4.39,10.37,0.53%,5.14%,20.0,293.46%,4%/17%(阴),6%,3%,-2%,-1%,-5%,-9%
301016,雷尔伟,2025-04-03,8.34,11.63,2.26%,7.16%,20.81,215.15%,-10%/2%(阴),4%,0%,16%,13%,12%,7%
301043,绿岛风,2025-09-19,3.88,11.6,-2.85%,6.5%,18.53,166.73%,-2%/12%(阴),-2%,7%,0%,2%,14%,13%
301049,超越科技,2023-06-08,4.04,8.23,-7.2%,6.82%,19.6,161.66%,5%/13%(阳),2%,2%,-4%,-5%,-3%,-3%
301060,兰卫医学,2026-08-13,5.39,8.25,0.0%,5.82%,21.26,212.73%,-1%/12%(阳),12%,16%,6%,10%,0%,3%
301111,粤万年青,2023-11-23,1.51,3.11,-0.72%,2.63%,18.96,435.67%,5%/21%(板),33%,19%,16%,21%,15%,20%
301116,益客食品,2025-11-19,2.38,5.18,-2.9%,4.23%,20.32,321.57%,-11%/5%(阴),-8%,-10%,-13%,-10%,-10%,-12%
301149,隆华新材,2026-01-23,3.14,4.13,0.17%,2.7%,17.83,445.44%,-6%/2%(阴),-6%,-5%,-5%,-7%,-8%,-9%
301169,零点有数,2023-08-22,2.94,8.08,-1.28%,6.44%,17.08,203.77%,3%/21%(板),44%,34%,24%,29%,46%(板),43%
301171,易点天下,2025-11-21,6.5,10.64,-0.33%,6.04%,14.32,222.61%,-5%/17%(阳),22%,15%,16%,13%,5%,1%
301196,唯科科技,2026-03-25,6.83,10.32,-0.74%,8.29%,14.98,117.46%,-3%/7%(阳),1%,-2%,-5%,-2%,-4%,-5%
301199,迈赫股份,2023-05-23,6.81,8.98,1.64%,5.0%,12.21,289.2%,-5%/21%(阳),14%,3%,-2%,-3%,-5%,-6%
301203,国泰环保,2023-07-17,1.94,3.6,0.52%,3.45%,20.55,515.33%,-10%/-1%(阴),-3%,-5%,5%,-7%,-9%,-3%
301246,宏源药业,2025-12-26,15.12,17.99,9.37%,15.82%,12.81,140.82%,-14%/-1%(阴),-6%,-2%,-3%,7%,-11%,-15%
301255,通力科技,2023-07-04,0.84,19.3,16.11%,24.91%,23.68,102.32%,-9%/10%(阳),15%,14%,4%,2%,3%,-9%
301261,恒工精密,2025-02-06,9.32,13.9,-1.61%,6.7%,20.77,139.74%,-5%/5%(阳),-1%,6%,6%,3%,-2%,-2%
301308,江波龙,2026-05-06,-2.99,7.5,5.09%,9.51%,13.77,118.44%,0%/6%(阴),0%,17%,18%,27%,32%,26%
301338,凯格精机,2023-07-18,11.84,13.99,-2.1%,5.31%,18.4,143.96%,5%/18%(阳),31%,22%,3%,2%,-3%,-8%
301357,北方长龙,2025-06-13,3.49,11.38,-5.13%,6.26%,19.0,153.24%,2%/11%(阳),13%,27%(板),52%(板),53%,49%,36%
301379,天山电子,2026-05-19,3.21,6.07,4.88%,8.69%,21.99,250.98%,-5%/13%(阴),-2%,-8%,-9%,-10%,-9%,-13%
301388,欣灵电气,2024-12-06,2.14,4.09,0.59%,5.86%,19.92,245.94%,-9%/0%(阴),-4%,-10%,-11%,-12%,-13%,-12%
