股票代码,股票名称,D-0日期,D-4涨幅,D-4振幅,D-3~D-1区间涨幅,D-3~D-1区间振幅,D-0振幅,D-0/D-4成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688003,天准科技,2020-05-26,4.76,7.72,-9.22%,12.12%,16.16,158.99%,3%/11%(阴),6%,-1%,2%,3%,0%,1%
688003,天准科技,2026-05-13,12.2,13.11,-3.18%,6.31%,22.04,144.2%,-4%/4%(阴),6%,17%,12%,10%,10%,13%
688013,天臣医疗,2021-04-30,4.74,7.6,-8.76%,10.2%,18.82,148.51%,0%/9%(阴),0%,-5%,-5%,4%,4%,9%
688080,映翰通,2026-01-14,9.08,6.71,1.57%,6.49%,16.16,192.65%,-9%/-2%(阴),-5%,-9%,-10%,-11%,-11%,-11%
688107,安路科技,2025-03-04,7.94,11.42,-13.52%,15.8%,21.15,132.8%,2%/16%(阳),9%,6%,5%,5%,4%,1%
688135,利扬芯片,2025-02-12,5.97,12.0,-2.41%,9.53%,18.27,268.52%,2%/8%(阳),4%,7%,0%,-3%,-2%,3%
688146,中船特气,2026-05-11,5.57,12.39,-0.63%,9.21%,18.39,114.73%,0%/6%(阴),22%(板),47%(板),57%,54%,40%,56%
688159,有方科技,2021-06-01,5.37,5.46,-2.14%,6.54%,20.12,127.43%,4%/16%(阳),6%,-1%,-2%,3%,0%,6%
688189,ST南新,2026-05-11,11.46,19.55,-1.79%,5.59%,17.63,101.79%,-4%/7%(阴),0%,4%,7%,-2%,-2%,-5%
688190,云路股份,2025-03-18,5.54,7.79,4.36%,8.13%,19.06,263.31%,-2%/16%(阳),8%,7%,0%,-5%,-6%,-6%
688247,宣泰医药,2023-04-13,3.66,7.1,-4.79%,7.39%,20.2,329.83%,-2%/9%(阴),-3%,-5%,-4%,-8%,2%,5%
688256,寒武纪,2026-04-30,2.23,9.67,4.74%,5.82%,15.88,169.83%,5%/15%(阳),10%,-29%,-30%,-24%,-23%,-21%
688258,卓易信息,2026-01-05,6.97,9.09,5.27%,9.5%,17.68,152.68%,0%/9%(阳),6%,6%,19%,43%(板),72%,94%
688331,荣昌生物,2026-01-13,11.13,12.79,4.54%,8.77%,10.97,208.88%,-11%/-2%(阴),-5%,-2%,-5%,-9%,-7%,-9%
688356,键凯科技,2021-04-30,-2.32,5.18,3.35%,11.18%,9.68,233.09%,2%/12%(阳),10%,8%,14%,15%,8%,9%
688358,祥生医疗,2025-02-14,6.79,6.03,-3.4%,9.62%,19.85,230.38%,6%/20%(阳),8%,11%,12%,10%,9%,9%
688485,九州一轨,2026-04-03,-6.65,25.03,-2.76%,9.96%,19.75,141.99%,-5%/9%(阳),28%(板),40%,32%,41%,46%,39%
688502,茂莱光学,2026-06-30,13.73,20.71,1.4%,16.2%,21.9,111.35%,-8%/2%(阴),-6%,-11%,-17%,-19%,-20%,-13%
688559,海目星,2024-05-21,4.23,8.37,4.77%,12.46%,12.31,450.09%,-3%/10%(阳),11%,10%,7%,6%,9%,-8%
688591,泰凌微,2025-06-25,3.8,5.6,5.63%,10.53%,7.0,273.04%,-4%/1%(阴),1%,1%,6%,4%,3%,1%
688676,金盘科技,2022-07-04,13.88,17.09,1.87%,12.77%,21.94,168.88%,-5%/1%(阴),6%,21%,22%,19%,15%,11%
688691,灿芯股份,2025-10-09,10.93,15.42,8.95%,21.91%,12.03,152.38%,-2%/11%(阴),17%,32%,21%,26%,21%,12%
688767,博拓生物,2025-08-14,11.79,12.92,3.04%,9.86%,17.63,109.03%,-3%/4%(阴),10%,8%,1%,-1%,-4%,-8%
300005,探路者,2024-08-22,4.82,13.25,-3.26%,4.6%,20.59,234.56%,-9%/-2%(阴),0%,-7%,-10%,-13%,-9%,-10%
300052,中青宝,2021-07-13,3.56,11.25,-1.18%,5.38%,21.98,292.35%,-8%/-4%(阴),-6%,-7%,-2%,-6%,-7%,-4%
300084,海默科技,2026-03-02,4.02,5.58,-1.49%,5.54%,19.54,378.52%,-3%/18%(阳),3%,-3%,-9%,-1%,-12%,-14%
300086,康芝药业,2024-09-12,11.2,11.73,-5.52%,11.99%,17.77,143.03%,-9%/-2%(阴),-13%,-16%,-18%,-19%,-19%,-15%
300096,ST易联众,2025-08-25,3.87,6.96,-0.25%,3.23%,6.72,192.93%,8%/19%(板),27%,26%,23%,31%,30%,23%
300108,未找到标的,2020-09-03,7.24,24.81,7.71%,26.51%,23.27,110.02%,4%/16%(阳),19%,18%,11%,-11%,-15%,-10%
300121,阳谷华泰,2025-05-23,11.56,10.77,-1.33%,6.44%,21.0,179.26%,-2%/9%(阳),6%,1%,1%,-3%,-5%,-5%
300127,银河磁体,2023-07-05,4.57,6.25,-0.17%,4.93%,21.3,426.21%,0%/9%(阳),3%,0%,3%,15%,11%,6%
300204,舒泰神,2021-05-19,1.25,4.98,-1.9%,4.92%,19.84,453.05%,6%/19%(板),31%,45%,35%,51%,43%,42%
300217,东方电热,2020-09-08,5.6,13.6,8.33%,25.76%,23.08,147.24%,-19%/10%(阴),-15%,-26%,-14%(板),-9%,-12%,-9%
300233,金城医药,2021-07-14,10.34,13.37,3.22%,8.0%,19.89,281.4%,0%/6%(阳),15%,6%,-3%,0%,4%,3%
300239,东宝生物,2020-09-08,6.75,11.46,-1.76%,13.68%,22.75,109.47%,19%/19%(板),22%,-7%,1%,-1%,-8%,-10%
300246,宝莱特,2025-07-07,3.5,5.01,0.24%,4.35%,21.23,262.87%,-7%/10%(阳),5%,5%,0%,-4%,-6%,-9%
300265,通光线缆,2022-08-04,4.8,10.74,-7.96%,10.15%,19.03,276.68%,-7%/2%(阴),-6%,-2%,0%,-3%,-3%,-6%
300267,尔康制药,2024-08-08,2.24,4.93,-1.75%,4.82%,19.2,428.71%,-7%/10%(阴),2%,-6%,-11%,-11%,-11%,-11%
300295,*ST三六五,2023-05-17,11.58,15.76,-2.59%,15.27%,24.63,108.49%,-4%/4%(阴),-5%,-1%,-4%,-2%,-11%,-19%
300336,未找到标的,2022-08-31,6.98,12.79,-2.72%,10.33%,22.35,219.26%,-8%/-1%(阳),4%,-7%,-2%,-2%,-4%,-9%
300342,天银机电,2024-08-07,3.64,6.86,-9.66%,14.63%,18.61,228.67%,-11%/1%(阴),-7%,-13%,-17%,-18%,-17%,-15%
300343,联创股份,2020-10-28,12.36,20.6,-10.51%,10.51%,18.85,161.52%,-6%/-1%(阴),6%,6%,12%,6%,3%,1%
300345,华民股份,2026-03-23,10.15,17.89,-9.21%,11.39%,23.23,155.69%,-4%/10%(阴),0%,-1%,-9%,-12%,-12%,-14%
300355,蒙草生态,2020-09-08,15.68,21.85,3.33%,18.44%,22.15,142.17%,-5%/16%(阴),-5%,-18%,-6%,-3%,-9%,-10%
300383,光环新网,2025-02-21,0.85,6.95,-3.03%,10.03%,15.19,113.97%,4%/13%(阴),15%,9%,6%,2%,-5%,-7%
300385,ST雪浪,2024-11-13,6.6,9.8,-0.75%,4.13%,21.55,297.71%,-9%/0%(阴),8%,-10%,-20%,-15%,0%,-10%
300421,力星股份,2025-02-26,5.76,6.92,2.21%,10.82%,18.0,245.9%,-9%/-1%(阴),-8%,-15%,-16%,-15%,-13%,-13%
300426,华智数媒,2023-04-25,16.19,19.71,7.01%,14.79%,20.37,166.25%,3%/17%(阳),19%,22%,40%,43%,32%,23%
300437,清水源,2022-11-10,5.87,8.49,-0.66%,4.83%,21.61,189.99%,-5%/7%(阴),1%,-2%,2%,-3%,-6%,-7%
300448,浩云科技,2024-07-03,7.44,21.09,-1.85%,10.85%,15.76,175.06%,0%/17%(阴),1%,-7%,-11%,-4%,-8%,-11%
300483,首华燃气,2021-08-23,3.99,11.67,-4.31%,11.22%,11.73,227.81%,-1%/18%(阳),13%,12%,23%,13%,9%,5%
300560,中富通,2022-03-01,3.86,7.59,-7.68%,11.15%,20.93,180.77%,-4%/4%(阴),-2%,0%,3%,1%,1%,3%
300560,中富通,2025-11-14,12.67,20.81,-3.34%,8.15%,20.51,104.9%,15%/20%(板),31%,26%,16%,0%,-2%,1%
300602,飞荣达,2022-06-17,4.62,8.81,0.83%,9.42%,18.28,269.5%,2%/10%(阳),5%,1%,7%,20%,23%,22%
300626,华瑞股份,2020-10-29,1.53,21.56,5.18%,14.55%,23.29,181.19%,-14%/-6%(阴),-11%,-12%,-16%,-15%,-15%,-17%
