股票代码,股票名称,D-0日期,D-2涨幅,D-2振幅,D-1涨幅,D-1振幅,D-0振幅,D-0/D-2成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688002,睿创微纳,2022-08-05,3.5,9.95,-1.14,3.81,18.18,174.45%,3%/13%(阳),12%,13%,15%,15%,12%,11%
688003,天准科技,2024-11-13,18.3,19.25,1.37,9.19,20.11,160.91%,-4%/9%(阴),-2%,-8%,-10%,-3%,-5%,-9%
688005,容百科技,2025-11-17,5.36,7.85,-1.86,2.66,8.14,176.41%,-6%/9%(阴),6%,4%,-4%,-12%,-12%,-14%
688022,ST瀚川,2021-11-09,6.14,12.67,4.13,4.37,19.97,350.55%,-2%/5%(阳),9%,22%(板),34%,48%,51%,49%
688028,沃尔德,2024-12-05,15.06,17.04,-3.88,8.26,17.61,166.07%,-7%/2%(阴),-3%,-6%,-7%,-10%,-7%,-10%
688047,龙芯中科,2022-08-05,6.91,11.87,2.27,4.37,20.0,205.93%,-11%/-2%(阴),-9%,-9%,-10%,-10%,-14%,-15%
688102,斯瑞新材,2022-11-28,6.82,9.75,-4.2,7.3,17.08,274.94%,-2%/4%(阳),4%,-3%,0%,-4%,-5%,-7%
688128,中国电研,2023-05-08,-1.62,10.99,-3.33,3.74,19.83,146.89%,-3%/12%(阴),1%,3%,-5%,-6%,-7%,-8%
688167,炬光科技,2023-11-09,6.2,8.92,0.13,4.36,8.11,177.92%,-3%/10%(阳),5%,10%,11%,16%,17%,16%
688171,纬德信息,2025-05-07,5.02,10.55,6.98,6.49,18.24,185.99%,-6%/19%(阳),18%,13%,23%,22%,16%,22%
688202,美迪西,2025-07-08,8.07,11.66,-2.76,3.07,20.45,162.66%,1%/20%(阳),15%,23%,18%,13%,12%,30%
688227,品高股份,2025-02-07,15.44,9.69,-1.85,10.81,20.2,163.94%,-1%/11%(阳),25%,12%,7%,14%,17%,12%
688227,品高股份,2026-04-16,9.41,13.63,5.87,9.69,21.38,185.45%,14%/19%(板),43%,36%,33%,38%,43%,47%
688292,浩瀚深度,2026-01-14,9.27,10.44,0.49,8.48,21.69,205.21%,-8%/9%(阴),3%,6%,-4%,-12%,-15%,-1%
688316,青云科技,2021-05-31,8.72,9.8,-1.05,3.86,16.09,120.74%,7%/20%(板),44%,32%,27%,19%,17%,9%
688333,铂力特,2020-07-09,6.8,11.84,1.12,5.7,15.31,196.45%,-7%/2%(阴),-6%,4%,4%,-7%,-13%,-8%
688365,光云科技,2023-03-16,7.01,14.66,2.69,10.03,25.14,175.38%,-2%/15%(阳),8%,12%,18%,16%,14%,32%
688368,晶丰明源,2020-01-20,4.28,7.13,6.5,8.88,18.42,153.18%,-12%/-1%(阴),3%,5%,-12%,-13%,-6%,-8%
688379,华光新材,2025-02-24,7.64,8.47,1.07,4.53,18.4,126.01%,3%/12%(阴),7%,3%,-1%,-8%,-9%,-9%
688390,固德威,2020-12-25,5.81,8.36,-5.41,5.88,18.48,138.28%,-3%/3%(阴),-1%,-5%,-2%,11%,10%,17%
688390,固德威,2021-07-29,-7.32,11.99,8.89,15.06,19.77,104.33%,0%/19%(阳),13%,2%,-6%,-4%,1%,4%
688411,海博思创,2025-11-13,13.0,10.26,5.17,11.29,19.09,131.85%,-3%/12%(阳),0%,-6%,-15%,-15%,-21%,-18%
688419,耐科装备,2023-04-14,4.72,7.18,-6.2,5.72,19.35,173.36%,-3%/10%(阴),3%,2%,3%,-2%,-8%,-10%
688456,有研粉材,2026-06-10,7.4,21.35,1.23,5.89,22.95,161.04%,-4%/19%(阳),22%,26%,39%,41%,38%,33%
688528,秦川物联,2024-09-26,3.75,4.18,0.97,2.36,0.0,167.27%,10%/19%(阴),42%,60%,35%,19%,15%,21%
688533,上声电子,2021-11-04,6.68,12.36,5.27,7.59,19.17,250.58%,4%/20%(板),44%(板),50%,50%,77%,82%,105%
688561,奇安信,2021-07-12,12.8,17.14,-3.01,4.62,16.18,198.97%,-4%/4%(阴),6%,2%,1%,-8%,-15%,-16%
688573,信宇人,2025-02-20,-1.05,5.21,1.66,3.32,19.98,484.15%,-6%/-2%(阳),9%,9%,10%,9%,19%,26%
688609,九联科技,2024-09-30,5.32,9.84,6.7,6.7,10.92,154.17%,14%/20%(板),31%,21%,6%,13%,18%,6%
688657,浩辰软件,2025-08-20,7.42,5.61,1.1,3.56,18.58,125.21%,-7%/5%(阴),-5%,-4%,-7%,-6%,-9%,-6%
688669,聚石化学,2021-09-28,11.22,22.72,-6.25,10.88,20.03,126.32%,-13%/6%(阴),1%,-1%,-7%,-15%,-18%,-21%
688677,海泰新光,2026-08-17,-8.91,20.56,3.79,6.59,22.57,124.0%,-3%/11%(阳),5%,3%,5%,1%,-4%,2%
688680,海优新材,2025-03-10,12.17,16.89,-2.61,4.73,18.98,210.65%,-3%/18%(阳),22%,17%,16%,15%,17%,14%
688690,纳微科技,2026-04-10,5.31,3.91,-2.52,3.56,6.13,510.59%,2%/7%(阳),5%,2%,-2%,1%,4%,3%
688699,明微电子,2026-01-22,2.04,5.84,2.21,4.98,20.45,314.85%,-8%/-3%(阴),-4%,11%,29%,22%,20%,12%
688709,成都华微,2024-12-06,8.76,11.35,8.86,19.49,23.05,133.49%,-12%/-5%(阴),4%,13%,4%,5%,2%,-8%
688766,普冉股份,2025-09-16,10.8,14.94,1.51,6.18,8.77,167.16%,-2%/8%(阳),1%,6%,6%,4%,4%,2%
300005,探路者,2022-05-20,6.14,11.43,-1.62,4.05,20.0,270.43%,-8%/1%(阴),-7%,-8%,-7%,-4%,-1%,-6%
300011,鼎汉技术,2021-09-03,5.75,10.16,1.64,5.56,9.45,220.59%,10%/19%(板),34%,20%,11%,1%,-4%,-3%
300029,未找到标的,2021-07-05,5.57,8.95,4.9,6.78,18.85,178.93%,-6%/7%(阴),14%,13%,7%,2%,-1%,-6%
300040,九洲集团,2024-05-10,5.42,14.75,1.65,3.29,19.84,237.23%,-1%/8%(阳),2%,2%,-2%,-1%,0%,4%
300058,蓝色光标,2024-11-11,0.12,6.14,-3.19,4.42,20.91,125.5%,-1%/9%(阳),17%,7%,14%,4%,-5%,13%
300067,安诺其,2024-09-13,4.02,11.15,1.19,6.55,23.53,171.08%,-10%/-5%(阴),0%,5%,-2%,1%,7%,4%
300071,福石控股,2022-11-10,5.65,9.97,1.89,7.55,19.14,188.69%,6%/20%(阴),35%(板),36%,53%,45%,39%,30%
300082,奥克股份,2025-11-11,4.58,8.63,-2.95,3.77,23.4,201.11%,-1%/16%(阳),25%,14%,12%,5%,0%,-4%
300123,ST亚光,2025-11-19,4.36,3.19,-2.41,2.25,20.43,396.17%,-6%/-1%(阴),-1%,4%,1%,-3%,-7%,5%
300127,银河磁体,2024-11-01,-0.05,8.94,-3.49,7.25,19.2,150.91%,-5%/18%(阴),28%(板),54%(板),75%,66%,47%,59%
300131,英唐智控,2020-10-22,7.18,7.44,-0.48,4.31,15.87,232.52%,0%/9%(阳),19%,11%,7%,8%,17%,12%
300135,宝利国际,2024-10-30,16.86,20.0,-7.09,10.76,22.89,109.63%,-3%/9%(阴),-2%,-12%,-9%,-2%,9%,2%
300162,雷曼光电,2021-04-26,3.61,3.8,-4.03,4.4,19.47,388.13%,-4%/10%(阴),3%,-1%,1%,0%,5%,5%
300165,天瑞仪器,2021-11-29,2.19,3.29,-1.93,4.51,20.13,1171.83%,5%/20%(板),44%(板),54%,44%,24%,20%,18%
300170,汉得信息,2026-01-12,13.35,18.75,8.03,9.44,18.46,110.54%,0%/14%(阴),14%,7%,2%,-7%,-4%,-7%
300174,元力股份,2026-05-22,14.41,20.27,-6.0,6.69,17.85,105.65%,-4%/12%(阴),-2%,4%,20%,26%,28%,23%
300175,朗源股份,2023-06-09,5.81,8.87,0.58,2.6,22.41,362.73%,4%/15%(阴),4%,0%,-3%,-6%,-6%,-8%
300177,中海达,2024-09-27,3.8,9.36,0.56,5.35,20.59,191.28%,8%/19%(板),43%(板),72%,51%,40%,34%,50%
300189,神农种业,2024-08-08,7.33,10.99,-4.39,4.88,21.43,184.38%,-8%/6%(阳),-3%,-3%,-5%,-4%,-6%,-3%
300199,翰宇药业,2025-08-04,7.02,10.79,-0.78,8.08,23.83,142.96%,3%/13%(阴),6%,0%,1%,4%,3%,3%
300213,佳讯飞鸿,2023-02-01,1.17,1.56,0.39,1.54,19.96,1379.84%,-2%/8%(阴),5%,5%,2%,0%,-3%,1%
300214,日科化学,2021-09-22,4.07,7.51,0.49,4.89,13.99,407.41%,-10%/-4%(阴),-13%,-18%,-20%,-22%,-24%,-22%
300220,金运激光,2021-07-23,10.26,18.43,-4.94,8.19,21.51,166.88%,-8%/-2%(阴),-5%,-18%,-20%,-12%,-12%,-8%
300233,金城医药,2025-03-12,10.19,9.97,-2.04,3.47,13.06,225.07%,1%/9%(阳),13%,23%,21%,24%,16%,10%
300247,融捷健康,2021-12-29,6.96,10.58,-2.34,3.91,20.0,193.15%,3%/15%(阳),11%,6%,1%,-3%,-4%,-2%
300251,光线传媒,2025-06-16,4.64,8.23,-2.8,2.53,19.38,156.69%,-5%/3%(阴),-5%,-8%,-11%,-13%,-13%,-13%
300255,常山药业,2021-08-03,8.96,14.5,2.84,7.47,7.99,298.32%,-5%/15%(阳),11%,0%,-6%,-6%,-7%,-9%
300256,星星科技,2023-09-07,0.32,10.13,-2.52,5.05,21.04,145.09%,0%/11%(阳),2%,1%,0%,-3%,-9%,-13%
300264,佳创视讯,2024-07-10,7.16,17.39,0.0,10.02,24.82,226.22%,-5%/6%(阳),-2%,-4%,-8%,-5%,-11%,-9%
300269,联建光电,2021-07-08,4.85,8.58,1.42,7.83,14.39,217.19%,1%/19%(阴),9%,5%,1%,-2%,4%,9%
300274,阳光电源,2021-07-29,-11.35,15.09,3.81,8.9,17.1,131.05%,2%/14%(阳),8%,1%,-1%,0%,5%,3%
300293,蓝英装备,2021-07-29,2.84,8.01,-4.55,11.72,18.86,103.78%,3%/11%(阴),24%,13%,13%,7%,5%,4%
300302,同有科技,2026-03-18,7.79,8.71,-1.66,3.18,19.43,221.1%,5%/14%(阳),11%,-5%,-8%,-6%,-11%,-14%
300302,同有科技,2026-05-11,11.88,15.54,5.56,10.53,7.32,110.23%,0%/7%(阴),3%,8%,11%,25%(板),45%,38%
300303,聚飞光电,2026-02-26,5.25,7.54,-0.9,2.43,20.0,328.2%,-3%/2%(阳),0%,6%,12%,34%(板),26%,14%
300311,任子行,2021-11-30,1.86,9.56,-3.91,1.96,18.45,182.66%,8%/17%(阳),17%,9%,-1%,-3%,-2%,2%
300317,珈伟新能,2020-08-27,9.76,12.93,-1.68,11.06,24.21,171.35%,-6%/14%(阴),4%,21%,25%,18%,24%,33%
300318,博晖创新,2025-11-12,1.71,2.91,1.01,1.85,19.67,864.67%,3%/19%(阳),13%,11%,11%,12%,4%,-3%
300319,麦捷科技,2023-10-13,3.73,5.33,0.41,2.88,20.78,306.39%,-5%/3%(阴),-3%,-1%,-7%,-10%,-11%,-9%
300324,旋极信息,2025-09-01,12.5,15.79,-5.99,5.41,8.55,111.27%,-1%/8%(阳),4%,-4%,-14%,-13%,-16%,-17%
300340,科恒股份,2024-09-04,3.47,11.56,1.26,6.84,20.0,125.11%,3%/16%(阳),5%,-6%,-10%,-5%,-8%,-11%
300364,中文在线,2023-03-24,8.8,10.2,-1.36,4.35,19.08,168.27%,1%/12%(阳),27%,22%,21%,30%,38%,37%
