股票代码,股票名称,D-0日期,D-4振幅,D-3振幅,D-4~D-3区间涨幅,D-4~D-3区间振幅,D-2~D-1区间涨幅,D-2~D-1区间振幅,D-0振幅,D-0/D-3成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688028,沃尔德,2025-09-08,9.0,12.19,18.73%,19.67%,-3.18%,9.02%,17.01,127.06%,-8%/-2%(阴),2%,6%,27%,28%,35%,23%
688039,当虹科技,2023-03-01,5.96,16.33,20.05%,23.16%,5.71%,8.23%,17.94,139.2%,7%/19%(阳),15%,15%,13%,-1%,-3%,14%
688070,纵横股份,2024-03-18,13.76,12.09,6.54%,19.96%,10.06%,14.33%,19.95,242.55%,-3%/18%(阳),17%,39%,30%,30%,18%,11%
688155,先惠技术,2021-01-25,13.09,10.11,20.45%,22.65%,-5.71%,11.02%,16.27,200.06%,2%/11%(阳),12%,14%,3%,7%,10%,20%
688216,气派科技,2024-06-19,15.09,8.37,10.13%,17.61%,-1.14%,7.14%,22.36,120.49%,20%/19%(板),33%,3%,-7%,-11%,-9%,-12%
688448,磁谷科技,2024-10-24,20.2,16.37,16.93%,32.01%,2.36%,17.17%,19.7,121.57%,-4%/15%(阴),1%,10%,-3%,8%,23%,4%
688521,芯原股份,2023-03-23,15.71,10.0,14.06%,20.95%,0.68%,8.63%,17.64,197.96%,-8%/0%(阴),-1%,5%,2%,-1%,0%,12%
688590,新致软件,2024-09-30,7.56,5.82,7.66%,12.97%,9.76%,11.95%,14.13,242.47%,8%/20%(板),16%,7%,0%,2%,7%,1%
300006,莱美药业,2021-08-06,11.07,5.65,12.65%,16.18%,0.0%,4.1%,18.9,220.76%,-1%/6%(阴),1%,0%,2%,3%,9%,-2%
300045,华力创通,2023-09-04,20.45,13.62,28.24%,38.37%,-1.69%,12.77%,15.87,106.88%,6%/19%(阳),40%(板),57%,75%(板),76%,73%,75%
