股票代码,股票名称,D-0日期,D-5振幅,D-4振幅,D-5~D-4区间涨幅,D-5~D-4区间振幅,D-3~D-1区间涨幅,D-3~D-1区间振幅,D-0振幅,D-0/D-4成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688039,当虹科技,2025-08-06,20.53,21.93,20.61%,34.03%,6.48%,13.53%,23.69,104.04%,-3%/8%(阴),-3%,-4%,-8%,-10%,-10%,-9%
688091,上海谊众,2022-05-05,12.43,20.71,17.97%,20.72%,20.9%,33.86%,17.94,102.39%,-12%/9%(阴),-5%,10%,7%,0%,-2%,-4%
688196,卓越新能,2024-11-22,8.94,12.37,19.87%,23.19%,18.27%,26.04%,22.48,169.69%,-8%/2%(阴),-3%,-6%,6%(板),12%,7%,7%
688290,景业智能,2024-12-11,7.62,19.73,16.7%,25.01%,-2.28%,9.66%,25.21,112.24%,-3%/7%(阴),-4%,-10%,-16%,-19%,-14%,-14%
688381,帝奥微,2025-02-19,7.19,6.57,12.89%,18.9%,-1.98%,6.42%,19.44,181.69%,2%/10%(阳),5%,9%,7%,11%,3%,0%
688418,震有科技,2023-05-17,13.7,15.93,21.53%,22.91%,-6.25%,12.6%,23.41,148.2%,-3%/11%(阴),-3%,-11%,-11%,-11%,-10%,-15%
688502,茂莱光学,2023-09-06,12.82,10.89,15.07%,22.43%,-0.94%,9.77%,21.16,117.76%,-7%/-1%(阴),2%,-6%,-8%,-10%,-14%,-15%
688548,广钢气体,2026-06-29,18.26,12.17,15.44%,25.11%,0.44%,20.38%,19.0,118.15%,-2%/18%(阳),23%,16%,14%,0%,3%,7%
688595,芯海科技,2021-06-17,7.34,19.07,11.2%,23.21%,-6.23%,11.11%,23.04,159.96%,-7%/0%(阴),1%,5%,1%,-4%,-6%,-7%
688625,呈和科技,2026-05-13,9.75,11.91,15.29%,18.53%,-4.69%,9.89%,21.92,181.66%,-10%/0%(阴),-2%,-1%,-4%,3%,3%,8%
688693,锴威特,2025-07-01,3.67,3.76,5.74%,5.64%,0.61%,5.27%,20.63,289.35%,-9%/-4%(阴),-9%,-7%,-10%,-10%,-10%,-11%
688716,中研股份,2024-12-09,12.61,9.16,14.22%,20.01%,-0.17%,11.11%,19.97,129.21%,7%/20%(板),43%,27%,27%,16%,6%,3%
300009,安科生物,2026-08-20,7.55,5.35,5.54%,10.14%,-5.47%,6.93%,9.93,397.99%,-12%/-6%(阴),-10%,-14%,-8%,-14%,-14%,-17%
300063,天龙集团,2026-01-09,7.91,7.35,8.39%,10.83%,1.46%,5.05%,20.35,337.82%,6%/20%(板),43%(板),69%,44%,28%,23%,30%
