股票代码,股票名称,D-0日期,D-6振幅,D-4振幅,D-6~D-4区间涨幅,D-6~D-4区间振幅,D-3~D-1区间涨幅,D-3~D-1区间振幅,D-0振幅,D-0/D-4成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688317,之江生物,2025-07-14,6.84,4.78,8.68%,11.07%,-0.97%,4.15%,19.64,313.1%,1%/13%(阳),8%,7%,4%,2%,0%,-3%
688656,浩欧博,2025-06-10,17.38,18.68,18.41%,25.39%,-6.18%,14.64%,22.51,114.57%,-5%/8%(阳),21%,12%,5%,4%,-8%,-7%
688669,聚石化学,2026-06-25,16.97,10.47,33.03%,40.45%,12.42%,15.93%,22.57,132.52%,4%/10%(阳),13%,21%,29%,26%,33%,29%
688693,锴威特,2026-03-30,10.33,17.82,18.6%,28.55%,-2.78%,7.78%,8.94,148.5%,-10%/3%(阴),-3%,11%,4%,7%,21%(板),44%
300164,通源石油,2022-03-02,5.86,19.08,17.97%,20.7%,-0.66%,14.4%,8.33,178.76%,4%/20%(板),16%,13%,13%,10%,4%,-2%
300320,海达股份,2021-08-23,19.56,20.9,21.08%,30.24%,4.47%,15.81%,18.97,120.57%,-8%/-1%(阳),-1%,8%,14%,13%,7%,8%
300683,海特生物,2024-05-14,4.88,5.41,7.56%,8.28%,-7.77%,13.38%,20.23,196.04%,-6%/4%(阴),-4%,-10%,-12%,-13%,-13%,-16%
300809,华辰装备,2025-03-26,16.47,11.17,22.3%,23.59%,-6.54%,10.27%,21.48,137.8%,-3%/8%(阴),12%,18%,14%,13%,6%,-15%
300844,山水比德,2021-12-22,4.89,19.71,11.23%,21.14%,-9.92%,10.61%,18.94,104.81%,-5%/3%(阴),-1%,-4%,-5%,-7%,-10%,-10%
300913,兆龙互连,2023-03-28,8.86,6.56,14.85%,16.26%,-0.22%,8.24%,16.74,171.43%,6%/19%(阳),18%,4%,11%,6%,24%(板),27%
300981,中红医疗,2025-08-07,3.85,9.1,8.53%,9.37%,-5.98%,8.14%,20.58,163.83%,-3%/10%(阴),4%,16%,9%,7%,1%,2%
301003,江苏博云,2026-04-22,5.48,5.76,4.91%,7.67%,-1.03%,5.03%,20.0,157.47%,-5%/3%(阳),14%,10%,-5%,-3%,-8%,-18%
301011,华立科技,2024-08-28,9.41,16.92,6.16%,20.74%,-0.67%,14.07%,20.0,198.56%,-7%/11%(阳),3%,0%,-5%,-7%,-10%,-10%
301555,惠柏新材,2024-05-07,9.17,11.51,4.05%,15.79%,-5.29%,12.03%,19.46,127.17%,-7%/0%(阴),-3%,-5%,-11%,-10%,-6%,-5%
