股票代码,股票名称,D-0日期,D-4振幅,D-2振幅,D-4~D-2区间涨幅,D-4~D-2区间振幅,D-1涨幅,D-1振幅,D-0振幅,D-0/D-2成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688535,华海诚科,2023-07-11,10.37,8.75,11.71%,12.78%,-5.87,6.86,18.85,126.8%,6%/20%(阳),40%(板),59%,47%,47%,52%,45%
688597,煜邦电力,2021-11-29,6.95,13.61,11.51%,16.15%,-3.77,4.68,20.38,239.53%,3%/20%(阳),23%,20%,21%,19%,21%,14%
688622,*ST禾信,2022-10-17,8.91,9.88,10.62%,17.0%,8.03,9.78,13.78,109.22%,-8%/6%(阴),2%,1%,5%,13%,5%,7%
300026,红日药业,2021-12-24,3.7,4.06,4.62%,6.7%,-1.55,2.65,15.92,682.81%,1%/20%(阳),28%,21%,33%,52%,61%,58%
300205,*ST天喻,2021-06-03,7.38,5.95,5.2%,10.71%,-4.05,5.53,15.96,191.42%,-2%/9%(阴),6%,12%,4%,8%,5%,-1%
300364,中文在线,2023-11-06,10.29,15.5,18.81%,16.8%,1.56,7.49,12.83,112.4%,6%/19%(阳),43%(板),54%,52%,62%,62%,58%
300378,鼎捷数智,2025-07-15,7.66,11.44,13.55%,16.17%,-1.62,2.77,20.65,170.76%,-4%/2%(阴),2%,9%,3%,0%,2%,4%
300410,正业科技,2023-07-20,4.59,4.44,4.47%,6.35%,-2.59,2.48,19.19,597.16%,-4%/6%(阳),-1%,-4%,3%,-4%,-11%,-11%
300555,ST路通,2020-08-27,5.59,5.29,6.82%,9.73%,-1.05,4.82,20.53,322.31%,-9%/0%(阴),-7%,-6%,0%,-5%,0%,12%
300561,汇金科技,2020-09-09,13.0,9.23,8.89%,19.35%,-2.98,8.78,22.75,131.9%,-15%/16%(阴),-15%,-2%(板),7%,10%,8%,9%
300564,筑博设计,2024-08-13,12.42,14.7,8.56%,17.37%,-2.67,8.56,22.37,234.71%,10%/19%(阴),19%,1%,-10%,-11%,-13%,-18%
300712,永福股份,2021-10-25,8.39,15.18,15.05%,17.53%,-3.62,5.55,19.82,143.28%,9%/19%(阳),17%,10%,-1%,3%,1%,-3%
300839,博汇股份,2025-02-11,5.13,8.98,5.83%,14.15%,-3.41,7.6,0.0,126.29%,-4%/18%(阴),-5%,-8%,-11%,-12%,-13%,-13%
300988,津荣天宇,2022-06-30,6.7,6.92,10.12%,11.23%,-7.05,6.3,19.06,166.98%,-4%/11%(阴),1%,4%,0%,4%,2%,-3%
301102,兆讯传媒,2023-06-15,6.09,5.77,5.83%,9.13%,-0.77,3.09,20.38,390.25%,-4%/6%(阳),4%,5%,2%,-1%,-6%,-7%
301177,迪阿股份,2026-08-26,11.42,10.74,12.33%,14.25%,-2.64,6.71,22.43,167.34%,-9%/-5%(阴),-5%,-13%,-9%,-14%,-12%,-11%
