股票代码,股票名称,D-0日期,D-3振幅,D-2振幅,D-1振幅,D-3~D-1区间涨幅,D-3~D-1区间振幅,D-0振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688068,热景生物,2024-11-20,8.46,16.03,18.09,39.72%,39.03%,20.2,110.16%,-7%/10%(阴),3%,-9%,-7%,-9%,7%(板),17%
688205,XD德科立,2025-11-25,16.36,14.22,8.61,18.87%,28.47%,15.07,111.09%,-7%/5%(阴),0%,-10%,-11%,-11%,-13%,-16%
688249,晶合集成,2024-10-08,3.13,3.52,11.76,21.85%,22.06%,6.05,213.28%,-8%/1%(阴),2%,-4%,-8%,-8%,-11%,-11%
688479,友车科技,2026-01-14,1.81,3.84,3.68,7.86%,8.85%,21.01,393.0%,-4%/10%(阳),1%,-8%,-12%,-12%,-11%,-10%
688484,南芯科技,2024-10-08,4.9,5.86,11.19,28.54%,29.41%,9.75,218.52%,-15%/-4%(阴),-10%,-18%,-21%,-19%,-22%,-19%
688521,芯原股份,2024-09-30,4.45,5.14,5.36,12.16%,11.97%,12.54,302.29%,17%/20%(板),43%,33%,22%,14%,17%,12%
688545,兴福电子,2026-05-11,6.85,8.1,14.49,14.78%,21.79%,6.43,155.88%,0%/9%(阳),25%,25%,28%,29%,17%,18%
688596,正帆科技,2026-05-14,7.5,5.24,8.87,15.36%,15.3%,21.22,248.77%,-1%/7%(阳),13%,9%,12%,10%,1%,2%
688602,康鹏科技,2024-05-22,12.74,8.34,11.18,29.3%,30.7%,16.26,192.09%,4%/19%(阳),14%,-14%,-16%,-21%,-23%,-24%
688663,新风光,2022-06-06,13.9,11.33,10.83,18.48%,29.05%,23.15,164.61%,-9%/-2%(阴),-3%,-11%,-8%,-8%,-13%,-9%
688981,中芯国际,2024-09-30,2.64,3.83,6.47,11.66%,11.68%,13.98,432.18%,17%/20%(板),44%,43%,22%,27%,35%,27%
300003,乐普医疗,2025-06-04,2.7,2.37,4.26,5.76%,6.56%,10.2,916.4%,-7%/-3%(阴),-6%,-8%,-2%,-4%,-5%,-7%
300015,爱尔眼科,2024-09-30,4.76,15.35,13.13,31.42%,31.32%,14.4,156.0%,7%/19%(板),12%,4%,-4%,-9%,-9%,-13%
300031,宝通科技,2023-04-28,9.22,8.94,16.15,28.69%,41.58%,17.46,135.36%,-8%/4%(阴),-6%,-5%,-8%,-13%,-15%,-15%
300033,同花顺,2024-09-27,12.93,5.95,15.01,30.86%,30.89%,17.18,166.63%,12%/20%(板),44%(板),72%,41%,20%,18%,18%
300042,朗科科技,2024-10-08,5.19,9.12,16.04,31.21%,32.28%,14.46,175.87%,-11%/9%(阴),-6%,-14%,-17%,-16%,-21%,-20%
300043,星辉娱乐,2024-11-25,16.67,10.54,23.68,20.75%,36.48%,24.74,105.29%,2%/19%(阴),13%,10%,-1%,-1%,2%,-4%
300056,中创环保,2024-10-08,11.58,9.67,16.83,39.65%,40.23%,16.33,135.47%,2%/20%(板),38%,-3%,7%,22%,10%,10%
300059,东方财富,2024-09-27,11.46,5.35,16.43,31.41%,33.08%,16.95,196.16%,14%/19%(板),43%(板),71%,45%,27%,27%,25%
300082,奥克股份,2025-06-05,12.48,18.32,17.11,11.36%,34.36%,18.51,148.59%,-10%/-2%(阴),-6%,-10%,-12%,-15%,-18%,-20%
300083,创世纪,2025-02-26,5.98,6.37,14.13,15.6%,23.76%,22.57,166.7%,-7%/3%(阴),1%,10%,13%,8%,11%,10%
300203,聚光科技,2024-10-08,5.99,13.39,11.88,30.31%,32.86%,17.78,220.85%,-13%/-4%(阴),-2%,-8%,-4%,-5%,-6%,-4%
300210,森远股份,2020-08-27,6.27,11.81,12.5,12.28%,23.31%,21.43,172.73%,-6%/10%(阴),3%,9%,12%,5%,3%,20%
300244,迪安诊断,2025-02-10,5.84,5.2,13.68,18.66%,21.34%,19.68,244.12%,-7%/-3%(阴),0%,5%,22%,46%,29%,33%
300245,ST天玑,2024-07-05,8.35,11.0,20.68,17.81%,29.13%,23.94,137.33%,-10%/-5%(阳),-9%,-2%,-4%,-4%,-13%,-18%
300293,蓝英装备,2023-02-02,2.41,3.53,2.85,6.26%,5.27%,20.25,1177.29%,-6%/-1%(阴),-2%,-4%,-6%,-9%,-9%,-8%
300343,联创股份,2020-09-07,19.81,11.36,20.65,23.27%,31.76%,19.39,133.45%,-9%/18%(阳),13%,-13%,-25%,-18%,-6%,-12%
300349,金卡智能,2021-06-15,3.67,4.41,3.82,7.7%,10.17%,0.0,122.27%,-10%/0%(阴),-12%,-12%,-9%,-11%,-14%,-15%
300366,ST创意,2024-10-08,5.65,8.95,14.91,28.39%,31.66%,14.97,152.17%,-11%/-1%(阴),-7%,-14%,-15%,-12%,-11%,-7%
300407,凯发电气,2024-10-08,6.73,7.21,19.42,26.32%,31.7%,13.76,179.36%,-9%/9%(阳),13%,4%,0%,4%,11%,8%
300432,富临精工,2024-10-08,7.32,10.81,15.78,34.15%,36.73%,11.87,157.08%,-10%/2%(阴),-7%,-2%,-9%,-5%,-5%,-3%
300476,胜宏科技,2023-05-26,9.57,9.15,17.48,7.27%,21.97%,17.64,133.73%,3%/13%(阳),12%,23%,19%,21%,10%,8%
300479,神思电子,2020-10-23,4.64,3.76,6.6,6.09%,7.72%,16.08,209.9%,-7%/0%(阴),-4%,-11%,-15%,-16%,-19%,-18%
300501,海顺新材,2022-01-14,3.44,18.87,22.1,26.77%,36.79%,24.12,151.2%,-8%/3%(阴),-10%,-19%,-10%,-23%,-28%,-30%
300604,长川科技,2024-10-08,6.37,8.92,14.4,33.35%,34.19%,7.65,173.43%,-8%/7%(阴),-4%,-11%,-12%,-6%,-10%,-7%
300620,光库科技,2025-11-25,10.41,11.87,14.36,15.99%,27.37%,19.5,161.76%,-4%/9%(阳),15%,7%,8%,0%,-1%,-4%
300778,新城市,2024-10-08,6.2,6.94,14.13,25.11%,29.59%,18.27,151.78%,-7%/6%(阴),5%,-11%,-13%,-10%,3%,0%
300782,卓胜微,2024-09-30,4.1,7.46,15.63,22.12%,26.03%,14.46,169.41%,9%/20%(板),41%,27%,15%,10%,12%,5%
300807,天迈科技,2020-10-26,6.27,8.87,6.93,3.3%,13.01%,20.8,194.11%,-11%/0%(阴),-13%,-18%,-19%,-22%,-17%,-12%
300807,天迈科技,2024-10-08,14.47,8.92,21.11,37.07%,38.61%,15.77,124.95%,-19%/0%(阴),-11%,-17%,-20%,-20%,-24%,-22%
300868,杰美特,2023-07-20,2.98,15.67,18.55,23.73%,24.11%,24.56,180.64%,-12%/8%(阴),-12%,-14%,-20%,-24%,-27%,-29%
300896,爱美客,2024-09-27,6.46,3.65,11.77,18.32%,18.67%,14.87,207.08%,8%/20%(板),44%(板),34%,23%,17%,8%,8%
300966,共同药业,2024-05-08,15.58,9.85,12.33,19.6%,24.43%,22.74,187.87%,-6%/4%(阴),-3%,-4%,-11%,-8%,-11%,-14%
300996,普联软件,2025-07-10,7.58,5.59,4.12,9.58%,10.68%,14.34,399.45%,-5%/20%(阳),7%,20%,13%,17%,16%,7%
301056,森赫股份,2023-07-28,3.69,4.53,8.41,6.29%,9.22%,19.8,213.35%,-7%/5%(阴),-6%,-13%,-18%,-20%,-22%,-21%
301156,美农生物,2024-05-09,7.63,5.65,12.36,13.27%,21.2%,23.81,200.39%,-9%/19%(板),-13%,-22%,-27%,-29%,-31%,-31%
301183,东田微,2024-10-08,10.87,8.18,17.62,33.03%,34.41%,15.39,141.51%,-9%/7%(阳),-5%,-15%,-4%(板),1%,-6%,3%
301226,祥明智能,2024-10-08,5.14,7.5,15.14,27.74%,31.86%,15.57,136.42%,-15%/-5%(阴),-11%,-18%,-20%,-19%,-21%,-21%
301256,华融化学,2025-03-27,4.94,6.79,4.54,6.94%,9.88%,21.56,296.41%,0%/17%(阴),-1%,8%(板),20%,26%,23%,43%(板)
301267,华厦眼科,2024-09-30,3.19,9.06,12.1,20.85%,23.98%,16.28,181.79%,3%/19%(阴),8%,-2%,-9%,-13%,-13%,-14%
301298,东利机械,2025-03-20,4.52,3.69,5.86,6.05%,9.55%,21.44,254.21%,-7%/9%(阳),0%,-8%,-1%,-5%,-10%,-15%
301348,蓝箭电子,2026-01-15,2.43,11.3,10.89,15.73%,22.11%,26.04,137.88%,6%/19%(阳),10%,21%,21%,20%,18%,24%
301517,陕西华达,2025-12-09,10.36,7.57,6.43,9.0%,15.71%,16.71,196.49%,-7%/-3%(阳),3%,7%,14%,4%,2%,9%
