股票代码,股票名称,D-0日期,D-1振幅,D-0振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688001,华兴源创,2019-12-10,10.23,21.06,155.68%,1%/15%(阳),8%,2%,-5%,-3%,8%,4%
688018,乐鑫科技,2024-12-11,16.95,14.95,202.79%,-8%/4%(阴),9%,0%,-4%,4%,10%,26%
688020,方邦股份,2025-07-29,19.76,13.51,147.94%,-5%/6%(阴),10%,-1%,1%,2%,-1%,0%
688047,龙芯中科,2024-10-08,15.17,6.31,179.8%,-6%/17%(阳),0%,-8%,-10%,-10%,-15%,1%
688048,长光华芯,2024-10-08,13.13,4.7,133.23%,-5%/15%(阳),7%,-5%,-11%,-4%,-9%,-10%
688052,纳芯微,2024-10-08,15.95,8.05,224.71%,-10%/9%(阳),1%,-6%,-9%,-7%,-13%,-12%
688058,宝兰德,2024-10-08,14.53,6.52,173.31%,-8%/17%(阴),8%,-9%,-11%,-4%,-8%,-4%
688090,瑞松科技,2024-10-08,19.44,13.48,102.79%,-7%/1%(阳),-1%,-13%,-17%,-13%,-17%,-9%
688123,聚辰股份,2020-05-06,15.86,17.81,247.29%,-3%/6%(阴),9%,6%,0%,-3%,2%,4%
688126,沪硅产业,2024-10-08,13.15,1.58,101.67%,1%/20%(阳),16%,3%,-4%,-5%,-10%,-12%
688131,皓元医药,2024-10-08,15.46,9.48,158.96%,-10%/-1%(阴),-3%,-13%,-18%,-17%,-21%,-21%
688152,麒麟信安,2024-10-08,18.07,13.57,132.66%,-12%/0%(阴),-1%,-2%,7%,10%,-6%,6%
688189,ST南新,2025-07-31,20.0,17.09,80.73%,-5%/9%(阴),0%,-1%,-3%,-11%,-14%,-12%
688225,亚信安全,2024-10-08,14.99,11.07,167.1%,-8%/3%(阴),-2%,-9%,-6%,-2%,-5%,1%
688256,寒武纪,2024-10-08,18.75,7.6,100.91%,-12%/19%(阳),9%,4%,8%,9%,2%,8%
688258,卓易信息,2022-06-02,20.0,25.39,260.44%,0%/14%(阴),7%,16%,11%,8%,9%,5%
688277,天智航,2024-10-08,14.71,8.17,176.71%,-6%/6%(阴),-3%,-9%,-14%,-13%,-16%,-17%
688280,精进电动,2025-04-30,9.9,15.46,385.34%,5%/20%(板),44%(板),41%,25%,15%,18%,19%
688291,金橙子,2025-06-16,13.77,8.82,192.16%,-6%/11%(阳),8%,12%,13%,1%,-4%,-8%
688336,三生国健,2025-05-20,17.7,1.13,40.25%,13%/19%(板),43%(板),44%,36%,55%,57%,56%
688348,昱能科技,2024-10-08,14.25,12.59,151.85%,-9%/2%(阴),-6%,-15%,-22%,-20%,-25%,-24%
688351,微电生理,2022-10-17,19.3,14.95,97.65%,4%/19%(板),20%,28%,25%,34%,33%,42%
688368,晶丰明源,2024-10-08,15.41,3.27,138.06%,-7%/18%(阳),7%,1%,0%,11%,1%,4%
688369,致远互联,2024-10-08,13.75,13.16,195.79%,-9%/5%(阴),0%,-8%,-9%,-6%,-9%,-9%
688387,信科移动,2026-01-12,12.8,7.26,64.0%,-11%/13%(阴),13%,2%,7%,5%,5%,0%
688425,铁建重工,2025-07-22,0.0,0.0,72.72%,21%/20%(板),40%,24%,13%,16%,16%,10%
688432,有研硅,2026-06-29,23.81,17.96,157.22%,0%/11%(阳),24%,31%,23%,17%,24%(板),35%
688502,茂莱光学,2024-10-08,16.02,14.18,150.99%,-3%/19%(阳),23%,-1%,-3%,8%,5%,12%
688519,南亚新材,2025-08-18,21.01,9.52,129.27%,-8%/6%(阳),3%,8%,24%,22%,25%,12%
688565,力源科技,2022-08-24,22.02,13.21,230.57%,-6%/6%(阴),14%,8%,3%,-6%,-7%,-12%
688584,上海合晶,2024-11-11,19.44,18.35,234.63%,-7%/7%(阴),-1%,-6%,-10%,-13%,-13%,-12%
688588,凌志软件,2024-10-08,10.25,5.76,164.15%,-7%/5%(阳),-2%,-16%,-16%,-15%,-16%,-15%
688593,新相微,2024-10-08,15.43,0.0,30.13%,3%/19%(板),42%,11%,16%,27%,24%,28%
688595,芯海科技,2024-10-08,14.2,9.13,144.48%,-7%/16%(阳),15%,-7%,-6%,-3%,-9%,-1%
688609,九联科技,2023-11-14,10.63,10.9,246.23%,-4%/13%(阴),-1%,-1%,-4%,-4%,-9%,-11%
688661,和林微纳,2024-10-08,13.35,6.16,122.82%,-6%/15%(阳),7%,-1%,-7%,-4%,-10%,-10%
688693,锴威特,2024-06-14,20.34,11.83,333.18%,-7%/11%(阳),24%(板),34%,54%(板),61%,45%,27%
