股票代码,股票名称,D-0日期,D-2振幅,D-1涨幅,D-1振幅,D-0涨幅,D-0振幅,D-0/D-2成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688021,奥福科技,2020-06-02,22.76,16.16,20.92,2.19,14.24,107.29%,-1%/19%(板),42%,40%,25%,19%,16%,22%
688083,中望软件,2025-10-13,20.41,-2.9,6.25,-1.53,16.66,136.47%,-6%/1%(阴),0%,-6%,-9%,-10%,-10%,-10%
688158,优刻得,2020-05-08,23.29,-1.37,6.86,2.53,11.73,110.48%,-1%/5%(阴),2%,2%,1%,2%,2%,-1%
688181,八亿时空,2024-11-29,21.44,-4.63,6.51,8.19,18.93,102.05%,1%/4%(阳),9%,3%,-2%,-1%,4%,9%
688258,卓易信息,2020-05-08,23.0,-4.8,6.86,5.58,11.86,123.0%,-4%/5%(阴),-1%,-2%,0%,3%,2%,-2%
688389,普门科技,2021-10-27,17.67,-4.48,4.06,10.2,14.21,103.25%,-2%/2%(阴),4%,0%,0%,-4%,-4%,-4%
688475,萤石网络,2023-04-10,20.93,-0.51,8.76,4.68,11.7,149.01%,-5%/4%(阳),10%,9%,2%,3%,3%,2%
688610,埃科光电,2026-05-21,21.81,0.18,5.63,7.26,15.77,123.18%,-1%/15%(阳),14%,10%,9%,11%,10%,4%
688629,华丰科技,2025-02-25,17.66,3.58,9.88,-2.5,15.85,102.26%,-3%/6%(阳),11%,9%,-4%,-8%,0%,-1%
300017,网宿科技,2026-01-28,18.47,-1.74,4.93,15.14,7.68,164.14%,-5%/13%(阳),10%,15%,23%,19%,18%,22%
300132,诺斯贝尔,2025-05-19,21.2,-7.34,6.25,12.31,18.04,101.5%,-3%/10%(阴),3%,-1%,-7%,-5%,-2%,5%
300253,卫宁健康,2025-02-07,15.77,1.66,6.89,16.19,20.45,169.47%,-1%/13%(阳),7%,17%,16%,35%,57%,37%
300309,未找到标的,2021-05-18,20.64,-13.36,11.45,19.38,20.26,157.94%,-5%/11%(阳),12%,9%,6%,20%,17%,12%
300317,珈伟新能,2026-03-03,19.91,-5.6,7.28,5.93,12.25,126.35%,-5%/12%(阳),12%,10%,15%,9%,9%,5%
300349,金卡智能,2026-01-14,16.17,-3.02,9.0,8.92,9.91,113.84%,-10%/-3%(阴),-7%,-12%,-14%,-10%,-11%,-6%
300432,富临精工,2021-08-10,18.44,-1.24,7.2,-6.12,28.46,107.5%,-7%/9%(阳),13%,19%,11%,7%,12%,19%
300464,星徽股份,2024-05-29,16.62,-8.23,8.01,10.38,21.46,114.11%,-6%/1%(阳),-1%,-4%,-13%,-23%,-25%,-24%
300502,新易盛,2023-04-06,15.88,6.01,5.67,6.79,17.47,115.93%,0%/6%(阳),16%,14%,9%,9%,10%,9%
300629,新劲刚,2025-12-26,21.5,-4.06,4.1,7.31,12.97,136.84%,-2%/4%(阳),4%,4%,5%,0%,1%,19%
300648,星云股份,2021-08-13,21.97,-5.26,8.96,5.64,10.94,121.86%,-17%/-11%(阴),-16%,-19%,-19%,-17%,-16%,-20%
300779,惠城环保,2026-07-24,19.13,1.98,7.38,9.55,18.02,107.02%,-8%/7%(阳),5%,3%,0%,7%,11%,10%
300881,盛德鑫泰,2024-03-19,21.81,-0.89,5.92,7.28,15.93,121.78%,-4%/-2%(阴),-4%,-7%,-7%,-4%,9%,2%
301095,广立微,2025-06-03,9.33,-3.24,4.81,6.17,7.96,100.8%,-5%/-2%(阴),-5%,-6%,-8%,-8%,-9%,-10%
301183,东田微,2026-05-12,23.49,-4.25,7.04,10.34,20.77,126.24%,-4%/8%(阳),13%,11%,5%,-2%,0%,4%
301213,观想科技,2025-06-25,19.36,-4.09,6.17,7.05,14.32,121.3%,-3%/10%(阳),16%,24%,23%,15%,14%,11%
301217,铜冠铜箔,2025-08-15,18.93,-6.15,7.19,14.49,16.17,109.77%,-2%/8%(阳),2%,5%,3%,9%,13%,10%
301277,新天地,2025-05-27,19.86,-5.95,9.88,14.12,22.04,116.05%,-6%/-1%(阴),0%,8%,12%,6%,4%,3%
