股票代码,股票名称,D-0日期,D-2振幅,D-1涨幅,D-1振幅,D-0涨幅,D-0振幅,D-0/D-2成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688020,方邦股份,2022-07-25,22.87,5.61,18.1,14.56,23.44,320.95%,-8%/6%(阳),12%,21%,16%,20%,14%,15%
688025,杰普特,2026-02-03,20.57,-3.59,10.64,18.87,18.29,147.01%,-7%/0%(阴),-3%,-1%,14%(板),26%,23%,24%
688028,沃尔德,2021-09-07,20.93,1.67,11.7,8.22,16.62,121.48%,-2%/3%(阴),0%,-7%,-9%,-7%,-4%,-4%
688077,大地熊,2024-11-05,21.41,8.98,13.05,11.04,24.39,330.05%,-6%/10%(阳),-1%,-6%,-7%,-4%,-2%,-5%
688089,ST嘉必优,2024-05-06,15.56,11.77,18.15,3.05,9.26,171.18%,-6%/-1%(阴),-3%,-3%,-3%,-10%,-13%,-15%
688117,圣诺生物,2023-04-12,18.8,11.85,22.05,3.85,10.09,230.63%,-7%/2%(阴),4%,2%,-1%,-2%,-6%,-11%
688165,埃夫特,2025-02-26,17.96,-3.29,9.43,-0.19,10.99,123.29%,-1%/5%(阳),2%,-10%,-13%,-11%,-10%,-10%
688167,炬光科技,2026-05-11,21.07,2.91,8.2,10.0,9.43,119.07%,-4%/2%(阴),9%,14%,10%,9%,3%,2%
688206,概伦电子,2025-06-03,8.95,4.25,10.59,9.81,19.31,155.08%,-9%/-3%(阴),-10%,-11%,-13%,-14%,-16%,-16%
688218,江苏北人,2022-07-08,21.33,7.55,14.41,14.85,14.97,269.14%,-8%/9%(阳),10%,8%,29%,33%,39%,34%
688251,井松智能,2024-08-28,8.23,-2.41,9.95,15.14,18.84,157.17%,-6%/-1%(阴),1%,5%,1%,-2%,-1%,-3%
688255,凯尔达,2022-08-01,18.03,9.07,14.18,6.7,11.69,166.05%,-9%/-1%(阴),5%,16%,10%,18%,32%,21%
688272,富吉瑞,2025-06-18,17.77,-5.63,9.92,10.08,18.02,146.87%,-8%/-1%(阴),-6%,-6%,-8%,-5%,-4%,-5%
688288,鸿泉技术,2022-06-06,19.88,7.98,12.52,2.41,14.49,194.99%,-6%/4%(阴),-3%,-6%,-8%,-6%,-9%,-9%
688316,青云科技,2026-01-26,19.9,-1.03,12.9,7.11,14.46,135.57%,-5%/6%(阳),20%,5%,-4%,-5%,-2%,-5%
688376,美埃科技,2026-06-29,12.1,4.51,14.29,13.09,18.24,173.52%,-8%/-1%(阴),4%,-9%,-14%,-16%,-19%,-19%
688498,源杰科技,2023-09-26,21.48,3.1,9.77,8.64,17.4,131.25%,-1%/4%(阴),11%,0%,-4%,-1%,-4%,-8%
688578,艾力斯,2022-06-01,18.95,8.56,17.5,13.67,14.26,420.98%,-8%/2%(阳),8%,7%,18%,6%,3%,2%
688596,正帆科技,2026-06-30,22.88,17.31,22.16,19.88,12.93,195.08%,2%/12%(阳),6%,1%,1%,4%,5%,2%
688602,康鹏科技,2023-09-01,18.46,11.93,24.15,3.82,22.7,185.99%,-9%/2%(阴),-4%,-5%,-8%,-10%,-13%,-16%
688648,中邮科技,2025-05-14,18.51,0.12,7.7,4.21,19.53,132.19%,-5%/4%(阴),12%,18%,41%,49%,54%,46%
688660,电气风电,2025-07-22,20.05,0.2,8.2,8.19,18.05,194.86%,1%/19%(阳),21%,28%,39%,56%,56%,45%
688660,电气风电,2025-08-28,23.66,0.04,12.63,14.46,15.76,122.56%,-7%/-3%(阴),-6%,-9%,-9%,-14%,-16%,-16%
688667,菱电电控,2025-05-07,16.07,4.61,9.47,2.73,19.15,188.32%,-4%/2%(阴),-2%,-5%,-4%,-6%,-7%,-5%
688677,海泰新光,2026-04-01,21.5,14.34,16.52,14.81,18.1,258.44%,-8%/0%(阳),15%,13%,17%,19%,18%,15%
688682,霍莱沃,2024-07-30,19.57,5.01,10.79,8.88,13.37,206.18%,-10%/-1%(阳),4%,0%,-4%,-10%,-6%,-5%
688697,纽威数控,2026-05-19,20.05,-4.88,8.35,8.87,11.78,114.06%,-5%/-1%(阴),-2%,-2%,-3%,3%,-6%,-10%
688698,伟创电气,2024-12-09,5.69,10.2,17.77,14.65,24.08,431.25%,-5%/8%(阴),-6%,-7%,-11%,-15%,-18%,-19%
688766,普冉股份,2026-01-07,16.27,7.11,13.76,11.92,9.8,165.74%,0%/7%(阳),1%,3%,-1%,-2%,-2%,8%
688772,珠海冠宇,2022-08-15,17.41,-2.4,12.62,10.35,20.19,141.1%,2%/7%(阴),9%,12%,11%,10%,17%,15%
300006,莱美药业,2025-07-16,17.71,-4.37,7.69,8.48,19.13,157.23%,-3%/13%(阴),2%,2%,3%,0%,1%,5%
300044,*ST赛为,2023-05-19,20.72,6.22,9.68,5.21,10.2,218.0%,-3%/4%(阳),2%,9%,12%,5%,1%,-3%
300046,台基股份,2024-05-30,21.05,4.31,11.82,13.14,24.85,376.03%,-6%/-1%(阳),3%,-5%,6%,21%,12%,18%(板)
300047,天源迪科,2024-09-05,21.7,-1.95,15.22,14.47,22.05,374.48%,-12%/-6%(阴),-15%,-14%,-18%,-13%,-10%,-12%
300061,旗天科技,2021-11-30,21.85,10.83,16.94,9.88,22.66,172.23%,-6%/1%(阳),1%,6%,-8%,-7%,-8%,-1%
300062,中能电气,2020-10-28,24.67,9.32,21.16,15.21,23.69,144.28%,-10%/-1%(阴),-5%,-10%,-15%,-15%,-21%,-22%
300071,福石控股,2025-11-04,20.57,13.39,16.93,6.77,15.45,265.31%,-6%/-1%(阳),-4%,-6%,7%,-1%,-4%,-6%
300085,银之杰,2023-05-05,21.42,2.3,7.63,2.04,12.45,123.77%,-3%/5%(阳),9%,3%,-1%,-5%,-8%,-10%
300092,科新机电,2021-08-25,19.16,5.96,15.18,13.66,21.19,184.57%,-7%/0%(阳),-1%,-2%,-9%,-11%,-13%,-12%
300128,锦富技术,2024-07-31,21.11,-3.17,6.63,2.98,11.9,145.84%,-2%/6%(阴),-3%,-2%,-5%,-6%,-8%,-8%
300141,和顺电气,2023-06-15,19.77,-3.79,9.66,3.44,10.73,278.24%,-5%/-1%(阳),-2%,14%,10%,0%,7%,6%
300157,新锦动力,2024-08-15,20.94,13.1,22.71,8.11,18.92,352.22%,-18%/-3%(阴),-14%,-17%,-21%,-24%,-26%,-25%
300157,新锦动力,2025-06-17,15.52,7.42,11.23,16.77,25.64,175.5%,-5%/6%(阴),9%,0%,7%,-4%,-15%,-11%
300179,四方达,2026-05-26,16.4,14.77,19.4,2.58,8.22,124.24%,-6%/-2%(阴),12%(板),30%,27%,28%,37%,35%
300185,通裕重工,2024-10-23,11.57,-3.45,8.62,11.07,17.86,132.53%,-6%/-4%(阴),-5%,-6%,-5%,-9%,-2%,4%
300204,舒泰神,2021-11-29,18.38,3.12,10.99,-0.23,15.21,135.59%,-3%/3%(阳),-2%,-13%,-17%,-19%,-21%,-24%
300205,*ST天喻,2021-03-23,21.67,2.47,11.1,16.96,18.6,213.93%,-8%/-2%(阴),7%,-1%,-2%,-4%,-7%,-10%
300205,*ST天喻,2022-02-11,20.11,10.71,15.49,7.96,20.53,340.14%,-9%/-3%(阳),11%,13%,2%,-2%,5%,1%
300205,*ST天喻,2024-04-02,20.36,1.82,8.18,10.71,17.56,163.87%,-5%/13%(阳),4%,0%,-4%,-4%,-7%,-14%
300223,君正股份,2026-06-29,15.85,-1.75,5.48,3.79,12.72,116.53%,-7%/5%(阳),15%,4%,11%,9%,2%,-2%
300229,拓尔思,2023-02-01,9.35,2.6,7.17,9.58,17.23,122.8%,-4%/2%(阴),3%,17%,17%,10%,7%,18%
300240,飞力达,2022-04-13,5.71,5.83,16.77,12.36,21.91,200.53%,-9%/4%(阳),-7%,2%(板),9%,20%,10%,3%
300251,光线传媒,2025-02-07,5.67,18.01,17.13,3.41,7.78,212.68%,2%/19%(板),43%(板),72%(板),107%(板),148%(板),198%,110%
300264,佳创视讯,2022-11-04,2.19,13.83,22.49,11.88,23.9,741.96%,-5%/4%(阴),-4%,-9%,-6%,-7%,-13%,-11%
300286,安科瑞,2020-10-28,21.45,8.77,17.33,10.22,25.45,287.53%,-9%/-4%(阳),10%,28%,19%,19%,21%,12%
300288,朗玛信息,2023-05-10,21.57,-4.53,10.07,4.8,15.9,137.07%,-6%/2%(阴),-1%,10%,14%,24%,21%,23%
300289,利德曼,2021-08-03,22.34,2.59,13.44,9.5,22.0,146.41%,-9%/-3%(阳),-1%,-12%,-11%,-13%,-16%,-15%
300291,百纳千成,2023-11-01,20.96,-6.49,11.13,13.06,17.52,252.71%,3%/20%(板),25%,29%,28%,39%,23%,16%
300295,*ST三六五,2022-03-21,0.95,1.41,9.01,3.4,14.63,342.25%,-4%/11%(阳),9%,24%,13%,14%,9%,10%
300297,未找到标的,2021-09-13,20.34,-7.06,11.53,8.35,15.95,108.01%,-3%/3%(阴),-4%,-3%,-5%,-4%,-6%,-8%
300314,戴维医疗,2020-10-29,20.92,-2.78,11.1,7.8,16.52,128.96%,-6%/3%(阴),-2%,-3%,-3%,-5%,-9%,-12%
300322,硕贝德,2023-10-10,19.44,13.03,14.09,8.53,14.53,237.59%,-4%/9%(阳),20%,33%(板),50%,41%,29%,25%
300322,硕贝德,2024-04-02,19.29,11.61,8.57,-2.56,9.84,202.02%,-9%/0%(阴),-7%,-10%,-15%,-17%,-19%,-21%
300324,旋极信息,2025-07-03,3.22,-7.66,9.39,11.83,18.26,240.64%,-6%/-1%(阴),-8%,-8%,-9%,-13%,-13%,-13%
300330,未找到标的,2022-02-09,10.59,-3.39,11.68,10.7,23.52,139.34%,-6%/-2%(阳),1%,6%,1%,3%,-2%,-7%
300340,科恒股份,2025-06-06,20.33,5.02,14.3,6.16,21.23,226.9%,-2%/20%(板),43%(板),59%,40%,31%,24%,35%
300356,未找到标的,2022-08-24,16.31,-0.3,10.36,14.24,18.99,138.63%,-6%/7%(阳),5%,-5%,1%(板),11%,6%,2%
300359,全通教育,2020-09-08,22.28,4.85,17.93,18.21,18.91,182.4%,-19%/-3%(阴),-20%,-29%,-25%,-25%,-27%,-30%
300375,鹏翎股份,2023-07-31,0.26,12.88,16.74,6.84,20.72,562.77%,-11%/-3%(阴),-9%,-13%,-16%,-20%,-18%,-20%
300397,天和防务,2021-06-10,20.93,6.69,8.39,6.99,17.69,174.38%,-6%/4%(阴),11%,5%,4%,9%,8%,14%
300434,金石亚药,2022-12-13,21.82,9.43,17.76,15.56,22.12,117.52%,-15%/-3%(阴),3%,11%,3%,-6%,-11%,-14%
300450,先导智能,2025-09-02,14.3,14.62,9.8,7.62,13.71,232.44%,-1%/7%(阳),8%,22%(板),34%,32%,34%,38%
300454,深信服,2024-10-08,16.86,19.68,14.51,19.99,18.93,233.05%,-18%/-6%(阴),-15%,-22%,-21%,-20%,-24%,-19%
300454,深信服,2026-07-10,19.31,0.68,5.36,3.69,8.53,101.93%,-5%/0%(阴),-3%,0%,3%,7%,3%,4%
300455,航天智装,2023-07-13,17.92,0.3,7.91,7.37,19.47,267.24%,-5%/3%(阴),-5%,-8%,-11%,-13%,-15%,-15%
300455,航天智装,2025-10-28,4.61,7.64,18.72,5.69,19.04,344.96%,-3%/5%(阴),4%,-4%,9%(板),15%,18%,11%
300459,汤姆猫,2020-08-25,9.6,4.52,10.24,8.93,19.02,206.6%,-8%/1%(阴),7%,13%,10%,4%,17%,11%
300467,迅游科技,2023-04-28,15.05,3.82,11.05,14.9,20.89,201.23%,-7%/-1%(阳),-5%,-8%,-1%,3%,-2%,-8%
300479,神思电子,2021-12-09,19.07,-3.65,10.56,7.34,18.0,122.86%,-5%/-1%(阴),2%,5%,1%,-1%,5%,-2%
300481,濮阳惠成,2026-06-15,22.9,-0.47,5.4,10.74,13.86,133.72%,-2%/7%(阳),5%,5%,0%,0%,3%,3%
300501,海顺新材,2020-10-15,16.98,-3.2,7.83,5.88,16.65,147.66%,-4%/7%(阳),2%,2%,8%,-5%,-4%,-7%
300503,昊志机电,2021-08-03,16.57,4.01,9.88,4.45,17.66,180.98%,-2%/4%(阳),10%,8%,8%,10%,10%,20%
300520,科大国创,2024-04-30,21.61,5.38,6.24,4.92,13.32,197.64%,-6%/3%(阳),1%,1%,6%,10%,0%,-10%
300521,爱司凯,2024-09-02,22.12,-0.69,12.35,14.25,24.18,386.69%,-11%/-6%(阴),-10%,-14%,-16%,-20%,-20%,-19%
300526,未找到标的,2022-07-28,19.82,-1.09,9.57,8.24,19.45,154.61%,0%/4%(阴),8%,9%,21%,40%(板),54%,42%
300530,领湃科技,2024-10-08,18.84,18.59,18.12,15.76,17.53,250.52%,-19%/-6%(阴),-18%,-23%,-22%,-20%,-24%,-23%
300539,横河精密,2026-07-03,19.69,-3.68,7.69,7.26,9.26,216.15%,-10%/-3%(阴),-5%,-11%,-16%,-13%,-17%,-24%
300545,联得装备,2025-12-01,19.72,0.06,5.79,5.35,12.47,170.58%,-4%/0%(阴),-1%,-5%,-8%,-6%,-7%,-8%
300549,优德精密,2023-05-22,19.97,8.79,13.09,17.94,25.1,224.5%,-9%/8%(阳),6%,-4%,-10%,-9%,-10%,-6%
300570,太辰光,2023-09-26,20.48,8.65,3.95,-0.68,10.12,217.37%,-2%/1%(阴),5%,2%,4%,7%,9%,-2%
300583,赛托生物,2024-07-31,20.42,15.89,18.91,-6.85,13.77,209.2%,-6%/-1%(阳),2%,-8%,-8%,-8%,-3%,-8%
300590,移为通信,2024-04-11,8.69,2.04,10.85,3.55,16.64,286.38%,-3%/2%(阴),-2%,1%,12%,7%,6%,3%
300608,思特奇,2023-11-09,20.17,10.66,12.01,6.45,18.0,223.87%,-15%/-3%(阴),-10%,6%(板),19%,9%,4%,4%
300608,思特奇,2025-02-05,18.87,3.45,13.79,7.64,11.87,190.91%,-4%/3%(阳),5%,10%,5%,5%,4%,8%
300626,华瑞股份,2025-10-22,17.91,-1.97,5.29,5.16,10.72,144.67%,-7%/-3%(阴),2%,0%,2%,-2%,8%,4%
300639,凯普生物,2024-08-14,17.3,13.36,15.64,7.6,22.33,281.08%,0%/20%(阴),19%,13%,4%,-8%,-11%,-15%
300649,杭州园林,2023-09-05,20.62,2.83,7.71,5.23,11.25,208.98%,-8%/-3%(阴),6%,0%,-6%,-9%,-6%,-10%
300660,江苏雷利,2022-07-04,16.33,4.34,21.17,14.44,15.76,134.94%,-16%/-4%(阴),-13%,-21%,-22%,-26%,-29%,-31%
300675,建科院,2021-03-09,20.64,-5.22,11.76,13.52,17.15,187.19%,-8%/1%(阳),11%,8%,3%,14%,8%,8%
300695,兆丰股份,2025-05-06,20.19,2.55,8.01,11.6,17.48,158.83%,-5%/-1%(阳),-2%,-4%,0%,14%,10%,12%
300711,广哈通信,2024-11-28,19.12,3.16,16.23,12.67,19.46,291.42%,-11%/-1%(阳),-8%,-8%,-11%,-13%,0%,-7%
300713,英可瑞,2021-03-16,19.16,1.63,12.75,7.93,12.16,160.62%,-6%/-1%(阴),-1%,-5%,-6%,-9%,-6%,-11%
300730,科创信息,2024-07-01,21.29,-0.38,10.35,12.22,24.64,255.57%,9%/19%(板),15%,1%,-1%,-4%,-6%,-11%
300738,奥飞数据,2024-03-26,18.3,5.52,12.12,15.78,18.2,198.35%,-15%/-8%(阴),-4%,-4%,-9%,-7%,-14%,-20%
300739,明阳电路,2021-07-29,19.04,16.67,13.0,11.06,21.61,472.49%,-13%/-5%(阴),4%(板),11%,-2%,-9%,-7%,-11%
300745,欣锐科技,2024-05-31,20.12,8.71,10.55,-4.18,12.14,295.28%,-9%/0%(阴),-9%,-11%,-15%,-20%,-20%,-19%
300757,罗博特科,2023-06-09,16.31,1.61,9.08,5.95,11.4,156.05%,-1%/6%(阴),-1%,-1%,10%,7%,20%,22%
300789,唐源电气,2021-09-27,17.61,1.76,16.19,8.02,23.06,287.72%,-8%/-3%(阴),-6%,-7%,-6%,-9%,-14%,-12%
300790,宇瞳光学,2025-02-10,22.07,16.34,9.82,7.54,13.87,413.37%,-8%/-3%(阴),-5%,-7%,-8%,-8%,-6%,-3%
300798,锦鸡股份,2025-03-20,21.3,-7.31,8.77,4.73,14.08,141.86%,-6%/16%(阳),10%,-3%,-8%,-5%,-9%,-14%
300799,未找到标的,2020-10-30,15.61,-5.69,5.9,7.32,15.02,135.19%,-5%/4%(阳),7%,2%,2%,2%,6%,4%
300811,铂科新材,2023-11-17,19.54,1.34,8.65,9.57,16.35,150.59%,-3%/3%(阴),6%,-2%,-6%,-8%,-11%,-11%
300816,艾可蓝,2026-01-14,11.84,15.02,5.32,16.04,19.0,432.38%,-16%/-3%(阴),-4%,-12%,-17%,-18%,-19%,-10%
300819,聚杰微纤,2026-05-11,20.95,13.27,16.2,7.11,13.05,184.24%,-9%/-1%(阴),7%,2%,3%,-4%,-5%,-6%
300823,建科智能,2024-04-15,22.84,8.65,18.69,1.46,15.38,385.8%,-20%/-11%(阴),-14%,-19%,-24%,-26%,-28%,-18%
