股票代码,股票名称,D-0日期,D-0涨幅,D-0振幅,D-0最低价,D-0最高价,D-1振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688003,天准科技,2026-08-18,-4.85,6.86,-8.03,-1.17,16.2,83.52%,-10%/-3%(阴),-1%,-1%,-4%,-9%,-8%,-6%
688004,博汇科技,2023-03-02,0.44,6.1,-1.44,+4.65,19.97,117.37%,-8%/1%(阴),-4%,-8%,-7%,-5%,0%,-3%
688005,容百科技,2020-02-11,-1.92,24.25,-7.29,+16.97,22.51,106.0%,-2%/16%(阳),22%,18%,10%,9%,15%,3%
688005,容百科技,2021-07-08,1.29,6.85,-1.08,+5.77,14.86,118.67%,-5%/0%(阳),12%,10%,1%,-5%,-5%,-8%
688006,XD杭可科,2026-05-29,0.53,9.66,-5.96,+3.70,21.57,90.44%,-8%/7%(阴),-6%,-1%,-12%,-16%,-19%,-11%
688007,光峰科技,2021-10-22,-1.95,6.42,-2.43,+3.98,16.38,93.28%,0%/9%(阳),9%,6%,1%,4%,20%,15%
688010,福光股份,2026-06-15,-9.07,8.99,-13.67,-4.68,17.16,95.84%,-2%/5%(阳),14%,20%,16%,8%,7%,7%
688016,心脉医疗,2022-10-17,15.88,10.42,+8.64,+19.05,17.32,223.88%,-2%/8%(阳),7%,9%,19%,22%,17%,19%
688017,绿的谐波,2023-02-08,-5.78,7.11,-9.29,-2.18,20.16,84.61%,-2%/6%(阳),8%,5%,3%,0%,-1%,-6%
688019,安集科技,2020-04-23,5.89,7.51,+5.01,+12.52,11.28,176.1%,0%/11%(阳),9%,11%,19%,25%,45%(板),60%
688020,方邦股份,2022-07-22,5.61,18.1,-8.06,+10.04,22.87,211.74%,-3%/19%(阳),22%,29%,38%,33%,37%,31%
688023,安恒信息,2019-12-19,-5.59,8.37,-6.69,+1.68,19.77,68.81%,-1%/14%(阳),17%,10%,16%,12%,13%,5%
688023,安恒信息,2020-02-13,1.04,10.27,-4.55,+5.72,22.06,128.78%,-9%/0%(阴),-6%,-6%,-6%,-12%,-6%,-10%
688025,杰普特,2026-02-02,-3.59,10.64,-4.68,+5.96,20.57,111.01%,1%/19%(阳),19%,15%,18%,36%(板),50%,46%
688028,沃尔德,2021-09-06,1.67,11.7,-5.37,+6.33,20.93,108.37%,0%/16%(阳),11%,9%,0%,-2%,1%,4%
688029,南微医学,2022-10-17,5.46,11.81,+4.14,+15.95,18.69,234.66%,-4%/16%(阳),10%,15%,19%,18%,12%,11%
688031,星环科技,2024-11-22,5.33,11.71,+3.67,+15.38,19.03,276.1%,-11%/2%(阴),-6%,-12%,-10%,-7%,-2%,-1%
688031,星环科技,2024-12-06,1.69,19.46,-2.69,+16.77,16.27,134.39%,-6%/6%(阴),10%,-3%,-2%,-6%,-11%,-12%
688037,芯源微,2022-02-24,0.62,7.22,-1.23,+5.98,20.87,142.16%,-1%/5%(阴),0%,1%,-1%,-1%,0%,-4%
688039,当虹科技,2021-09-09,-9.18,8.42,-10.96,-2.54,19.86,93.86%,-2%/1%(阴),4%,0%,-2%,-3%,-9%,-11%
688039,当虹科技,2023-12-08,7.44,19.55,+0.45,+19.99,17.86,272.54%,-5%/-2%(阳),0%,5%,-1%,-5%,-6%,-6%
688039,当虹科技,2025-10-09,4.21,11.68,+4.06,+15.74,13.97,163.05%,-12%/-3%(阴),-13%,-11%,-17%,-18%,-19%,-19%
688048,长光华芯,2026-04-23,-1.58,7.29,-3.96,+3.33,16.38,86.4%,3%/11%(阳),8%,8%,0%,3%,6%,8%
688048,长光华芯,2026-07-01,-5.51,8.79,-7.37,+1.42,19.48,80.99%,-10%/-1%(阴),-8%,-4%,-9%,-8%,0%,6%
688051,佳华科技,2022-12-05,3.24,12.3,-3.68,+8.62,20.06,164.92%,-6%/-2%(阴),-6%,-7%,-7%,-4%,-6%,-8%
688051,佳华科技,2023-01-04,3.07,14.13,+1.56,+15.69,21.5,175.55%,-7%/1%(阴),-6%,-6%,0%,-3%,-4%,-4%
688062,迈威生物,2025-02-24,-3.8,5.37,-4.86,+0.51,20.11,111.46%,-1%/3%(阳),9%,8%,9%,4%,-1%,-2%
688062,迈威生物,2025-07-18,-2.76,6.4,-5.95,+0.46,19.38,80.21%,-4%/0%(阳),-1%,-7%,-6%,-8%,-7%,-2%
688063,派能科技,2024-03-12,0.12,5.11,-2.01,+3.10,17.59,72.25%,-2%/2%(阳),0%,-4%,-1%,-1%,-3%,-5%
688063,派能科技,2024-10-08,18.73,13.07,+6.91,+19.98,14.28,178.5%,-14%/-5%(阴),-12%,-17%,-22%,-22%,-26%,-26%
688063,派能科技,2025-10-09,-3.69,6.37,-4.00,+2.37,21.24,89.84%,-5%/3%(阴),-5%,1%,-5%,-4%,-5%,-9%
688068,热景生物,2023-11-09,2.64,7.51,+0.91,+8.42,17.56,97.78%,-6%/2%(阳),2%,-6%,-8%,-9%,-12%,-7%
688068,热景生物,2025-07-07,-6.14,7.11,-8.03,-0.92,15.4,73.63%,-6%/0%(阴),0%,7%,4%,2%,5%,5%
688070,纵横股份,2024-01-12,-3.88,11.95,-3.88,+8.06,19.62,152.61%,-5%/-1%(阴),0%,-5%,-10%,-13%,-14%,-19%
688070,纵横股份,2025-06-03,4.01,18.04,-0.23,+17.81,18.14,165.81%,-8%/-3%(阴),-7%,-10%,-8%,-7%,-9%,-10%
688071,华依科技,2022-06-06,4.71,14.07,+3.94,+18.01,20.01,250.71%,-7%/1%(阴),-3%,-9%,-10%,-7%,-9%,-8%
688080,映翰通,2021-10-28,-5.99,16.56,-7.27,+9.29,1.66,383.42%,0%/5%(阳),7%,8%,9%,8%,10%,14%
688081,兴图新科,2025-08-05,-0.53,14.25,-2.95,+11.30,19.23,163.14%,-4%/2%(阳),9%,9%,2%,0%,-3%,-4%
688081,兴图新科,2026-04-14,0.66,6.85,-2.24,+4.61,19.38,94.21%,-2%/1%(阴),1%,3%,8%,9%,13%,10%
688083,中望软件,2025-10-10,-2.9,6.25,-4.65,+1.60,20.41,83.82%,-2%/14%(阴),0%,-2%,-8%,-10%,-11%,-12%
688084,晶品特装,2024-12-03,-5.64,7.82,-8.04,-0.22,19.06,67.85%,2%/13%(阳),24%,20%,15%,19%,18%,25%
688085,三友医疗,2021-06-23,-6.6,10.81,-10.50,+0.31,15.68,65.66%,-6%/1%(阴),-5%,-2%,-1%,6%,9%,8%
688086,未找到标的,2023-03-02,-7.09,10.81,-11.82,-1.01,21.05,79.86%,-2%/14%(阳),20%,35%,60%,72%,54%,34%
688088,虹软科技,2023-05-29,0.05,5.14,-2.35,+2.79,19.42,86.71%,-5%/3%(阳),23%,18%,19%,17%,18%,12%
688093,世华科技,2025-04-21,-2.27,4.03,-3.17,+0.86,8.65,92.78%,-2%/0%(阴),1%,6%,5%,8%,6%,8%
688098,申联生物,2020-02-07,-5.7,10.43,-9.31,+1.12,16.47,91.58%,-1%/13%(阳),7%,2%,4%,5%,4%,2%
688099,晶晨股份,2020-01-20,0.59,14.9,-4.25,+10.65,19.06,132.94%,-8%/2%(阴),1%,3%,-20%,-14%,-9%,-11%
688103,国力电子,2022-07-19,-1.0,7.41,-3.10,+4.31,20.19,73.59%,-3%/2%(阴),-1%,1%,3%,1%,0%,2%
688103,国力电子,2024-03-22,-6.13,6.9,-7.24,-0.34,18.03,102.38%,-4%/1%(阴),0%,-3%,-1%,0%,3%,9%
688108,赛诺医疗,2020-06-17,0.04,9.32,-4.37,+4.94,20.21,110.1%,-12%/-1%(阴),-3%,0%,1%,1%,-1%,7%
688109,品茗科技,2021-06-11,-1.39,10.33,-3.48,+6.85,14.15,97.99%,-6%/-1%(阴),-4%,-9%,-9%,-9%,-6%,-8%
688110,东芯股份,2026-01-28,-8.42,12.31,-9.95,+2.36,11.93,114.49%,-4%/2%(阴),-2%,-5%,-8%,-10%,-9%,-9%
688112,鼎阳科技,2022-08-16,0.89,8.19,-0.40,+7.78,16.23,117.51%,-2%/6%(阳),3%,-1%,-4%,-4%,-3%,-8%
688112,鼎阳科技,2026-08-19,-2.85,7.66,-5.99,+1.68,15.07,215.5%,-2%/8%(阳),7%,5%,2%,4%,3%,6%
688113,联测科技,2024-03-27,-10.51,7.93,-13.02,-5.09,17.79,77.53%,-3%/5%(阳),9%,7%,2%,-2%,-6%,-11%
688114,华大智造,2025-03-05,-0.79,9.16,-5.34,+3.82,21.96,104.69%,-2%/3%(阳),10%,1%,-3%,-2%,-6%,-7%
688116,天奈科技,2020-07-08,-1.19,7.38,-7.85,-0.47,16.39,89.8%,-3%/6%(阳),3%,7%,2%,-2%,-9%,-12%
688118,普元信息,2021-06-11,-3.74,6.32,-4.92,+1.39,20.09,92.89%,-5%/-1%(阴),-5%,-6%,-6%,-6%,-6%,-10%
688118,普元信息,2024-12-04,-9.5,10.48,-9.80,+0.68,19.91,128.32%,-2%/2%(阳),3%,-1%,2%,1%,-1%,-2%
688119,中钢洛耐,2025-12-12,2.23,9.51,-0.20,+9.31,20.39,145.26%,-1%/5%(阳),2%,1%,4%,9%,16%,9%
688119,中钢洛耐,2026-01-13,-0.13,11.58,-7.89,+3.69,17.71,82.23%,-1%/18%(阳),5%,15%,5%,-3%,-10%,-8%
688120,华海清科,2026-06-30,1.85,9.34,-4.21,+5.13,19.77,126.02%,0%/10%(阳),-3%,-14%,-14%,-12%,-8%,8%
688123,聚辰股份,2020-02-13,-0.85,8.71,-3.33,+5.38,21.41,102.72%,-5%/8%(阳),5%,12%,4%,1%,-4%,-4%
688123,聚辰股份,2020-07-07,-2.68,14.93,-2.68,+12.25,13.52,133.29%,-4%/6%(阳),8%,8%,16%,14%,14%,5%
688128,中国电研,2025-09-09,-4.62,7.02,-4.93,+2.09,19.32,120.32%,-3%/0%(阴),-3%,-3%,-1%,-2%,4%,2%
